ID,Outros,Obra nao iniciada (terreno),Infra-estrutura,Vedacao vertical,Coberturas,Esquadrias,Revestimentos externos,Pisos externos e paisagismo
8062-0,0,0,0,0,0,0,1,0
8062-2,0,0,0,0,0,1,0,1
8062-3,0,0,0,0,0,0,1,0
8062-1,0,0,0,0,0,1,0,1
8065-4,0,0,0,0,0,0,0,1
8065-3,0,0,0,0,0,1,0,1
8066-2,0,0,0,0,0,1,0,1
8066-3,0,0,0,0,0,1,0,1
8066-6,0,0,0,0,0,1,0,1
8066-0,0,0,0,0,0,1,0,1
8066-4,0,0,0,0,0,1,0,1
8067-0,0,0,0,0,0,0,0,1
8067-15,0,0,0,0,0,1,0,1
8067-1,0,0,0,0,0,1,0,1
8070-9,0,0,0,0,0,1,0,1
8070-19,0,0,0,0,0,1,0,1
8070-18,0,0,0,0,0,1,0,1
8070-14,0,0,0,0,1,0,1,0
8070-15,0,0,0,0,0,1,0,1
8070-16,0,0,0,0,0,1,0,1
8070-12,0,0,0,0,1,0,0,0
8070-17,0,0,0,0,0,1,0,1
8072-28,0,0,0,0,0,1,0,1
8072-13,0,0,0,0,0,0,0,1
8072-2,0,0,0,0,0,1,0,1
8072-3,0,0,0,0,0,0,0,1
8072-15,0,0,0,0,0,0,0,1
8072-12,0,0,0,0,0,0,0,1
8073-18,0,0,0,0,0,0,0,1
8075-7,0,0,0,0,0,1,0,1
8075-6,0,0,0,0,0,1,0,1
8076-17,0,0,0,0,0,1,0,1
8076-13,0,0,0,0,0,1,0,1
8076-15,0,0,0,0,0,1,0,1
8076-12,0,0,0,0,0,1,0,1
8076-16,0,0,0,0,0,1,0,1
8076-14,0,0,0,0,0,1,0,1
8095-5,0,0,0,0,0,1,0,1
8095-15,0,0,0,0,0,0,0,1
8095-16,0,0,0,0,0,1,0,1
8095-3,0,0,0,0,0,0,0,1
8095-6,0,0,0,0,0,0,0,1
8095-4,0,0,0,0,0,1,0,1
8095-17,0,0,0,0,0,0,0,1
8095-7,0,0,0,0,0,1,0,1
8098-4,0,0,0,0,0,0,0,1
8098-24,0,0,0,0,0,0,0,1
8098-11,0,0,0,0,0,0,0,1
8098-18,0,0,0,0,0,0,0,1
8098-20,0,0,0,0,0,1,0,1
8098-5,0,0,0,0,0,0,0,1
8098-3,0,0,0,0,0,0,0,1
8098-12,0,0,0,0,0,0,0,1
8098-28,0,0,0,0,0,1,0,1
8098-13,0,0,0,0,0,1,0,1
8098-29,0,0,0,0,0,1,0,1
8099-5,0,0,0,0,0,1,0,1
8099-1,0,0,0,0,0,0,0,1
8099-2,0,0,0,0,0,0,0,1
8099-3,0,0,0,0,0,1,0,1
8099-6,0,0,0,0,0,1,0,1
8099-0,0,0,0,0,0,1,0,1
8099-4,0,0,0,0,0,1,0,1
8099-7,0,0,0,0,0,1,0,1
8102-4,0,0,0,0,0,1,0,1
8102-37,0,0,0,0,0,1,0,1
8102-7,0,0,0,0,0,1,0,1
8102-0,0,0,0,0,0,0,0,1
8102-5,0,0,0,0,0,0,0,1
8102-36,0,0,0,0,0,0,0,1
8102-35,0,0,0,0,0,0,0,1
8102-26,0,0,0,0,0,1,0,1
8103-4,0,0,0,0,0,1,0,1
8103-9,0,0,0,0,0,1,0,1
8103-0,0,0,0,0,0,1,0,1
8103-1,0,0,0,0,0,0,0,1
8103-2,0,0,0,0,0,1,0,1
8103-3,0,0,0,0,0,1,0,1
8103-8,0,0,0,0,0,1,0,1
8103-13,0,0,0,0,0,1,0,1
8110-4,0,0,0,0,0,0,0,1
8110-9,0,0,0,1,0,0,0,0
8110-7,0,0,0,0,0,1,0,1
8110-10,0,0,0,1,0,0,0,0
8110-6,0,0,0,0,0,1,0,1
8110-12,0,0,0,0,0,1,0,1
8110-8,0,0,0,0,0,1,0,1
8111-4,0,0,0,0,0,0,0,1
8111-19,0,0,0,0,0,0,0,1
8111-7,0,0,0,0,0,0,0,1
8111-21,0,0,0,0,0,0,0,1
8111-2,0,0,0,0,0,0,0,1
8111-3,0,0,0,0,0,0,0,1
8111-17,0,0,0,0,0,1,0,1
8118-5,0,0,0,0,0,1,0,1
8118-16,0,0,0,0,0,1,0,1
8118-1,0,0,0,0,0,1,0,1
8118-2,0,0,0,0,0,1,0,1
8118-0,0,0,0,0,0,1,0,1
8118-17,0,0,0,0,0,1,0,1
8119-0,0,0,0,0,0,1,0,1
