@lat,@lon
-21.181627,-43.982132
-21.186183,-43.964378
-21.194551,-43.968616
-21.196159,-43.978275
-21.176874,-43.978674
-21.188408,-43.984433
-21.198048,-43.980266
-21.174301,-43.966957
-21.179840,-43.985300
-21.205933,-43.979506
-21.183806,-43.985826
-21.179771,-43.986124
-21.189422,-43.983647
-21.186863,-43.969448
-21.189465,-43.973465
-21.192656,-43.978424
-21.201178,-43.984276
-21.176718,-43.972935
-21.183242,-43.981262
-21.177320,-43.984480
-21.183425,-43.979962
-21.201941,-43.967756
-21.183049,-43.981282
-21.194328,-43.965872
-21.195338,-43.981031
-21.176958,-43.978599
-21.205266,-43.984866
-21.180283,-43.975319
-21.194497,-43.965115
-21.189373,-43.982134
-21.197790,-43.979464
-21.189290,-43.972120
-21.197102,-43.983690
-21.174438,-43.975766
-21.185703,-43.984927
-21.199995,-43.971741
-21.199006,-43.985589
-21.184246,-43.970770
-21.182796,-43.976220
-21.180814,-43.982820
-21.199119,-43.980901
-21.201735,-43.981537
-21.175065,-43.981694
-21.200400,-43.971326
-21.190617,-43.967195
-21.188299,-43.978680
-21.183262,-43.978820
-21.189236,-43.982759
-21.195304,-43.969417
-21.188216,-43.983194
-21.203658,-43.983035
-21.176053,-43.973624
-21.179731,-43.962733
-21.205298,-43.972983
-21.183318,-43.976131
-21.201561,-43.967347
-21.193586,-43.975151
-21.185206,-43.968028
-21.177181,-43.968088
-21.184804,-43.965937
-21.186686,-43.968236
-21.173921,-43.985578
-21.176241,-43.977152
-21.182663,-43.979425
-21.189261,-43.974350
-21.205800,-43.967178
-21.201607,-43.980386
-21.197637,-43.966165
-21.193432,-43.973262
-21.183946,-43.980306
-21.203543,-43.970709
-21.191121,-43.975707
-21.189050,-43.973435
-21.200406,-43.976226
-21.187421,-43.972642
-21.205966,-43.981500
-21.205454,-43.963597
-21.175287,-43.968888
-21.196234,-43.980094
-21.193439,-43.974619
-21.197475,-43.982283
-21.193566,-43.981086
-21.203405,-43.979065
-21.188265,-43.964549
-21.199262,-43.982866
-21.184218,-43.970048
-21.174591,-43.966532
-21.182169,-43.974416
-21.198189,-43.967895
-21.204417,-43.983031
-21.195170,-43.977375
-21.177196,-43.976898
-21.175516,-43.976717
-21.187221,-43.978934
-21.179764,-43.977376
-21.184950,-43.964502
-21.191576,-43.967587
-21.201317,-43.966145
-21.183821,-43.982108
-21.190417,-43.981777
