@lat,@lon
-19.549424,-44.134645
-19.545589,-44.123926
-19.556232,-44.120023
-19.534321,-44.138936
-19.559604,-44.147667
-19.537885,-44.134125
-19.529855,-44.125541
-19.540896,-44.151200
-19.534722,-44.123997
-19.539546,-44.123061
-19.545919,-44.117877
-19.563266,-44.125941
-19.542941,-44.142167
-19.539003,-44.111853
-19.543888,-44.110343
-19.544625,-44.149958
-19.566262,-44.137554
-19.529096,-44.133877
-19.545373,-44.121725
-19.563088,-44.127808
-19.535264,-44.134415
-19.552043,-44.143971
-19.544693,-44.138479
-19.555404,-44.135317
-19.542447,-44.111068
-19.564630,-44.151465
-19.564299,-44.130431
-19.539591,-44.128704
-19.558844,-44.128120
-19.552547,-44.152783
-19.544382,-44.149575
-19.559130,-44.121820
-19.551743,-44.155081
-19.534458,-44.122133
-19.555876,-44.122990
-19.561666,-44.137341
-19.543083,-44.122345
-19.566085,-44.118495
-19.558172,-44.125940
-19.538479,-44.116766
-19.541302,-44.155888
-19.566274,-44.143751
-19.537661,-44.131941
-19.555025,-44.119995
-19.565993,-44.152221
-19.563792,-44.138500
-19.549143,-44.111285
-19.547158,-44.137984
-19.550917,-44.134670
-19.557032,-44.115160
-19.552511,-44.125030
-19.529390,-44.144451
-19.557783,-44.132122
-19.546094,-44.123880
-19.534789,-44.136997
-19.538279,-44.129476
-19.561177,-44.138988
-19.562403,-44.123122
-19.555545,-44.110507
-19.541410,-44.135424
-19.541323,-44.118084
-19.546257,-44.135480
-19.547325,-44.110412
-19.529150,-44.121069
-19.529813,-44.145012
-19.550480,-44.140011
-19.532650,-44.147334
-19.540629,-44.131850
-19.536902,-44.124935
-19.558384,-44.150693
-19.553760,-44.116652
-19.565700,-44.144515
-19.547959,-44.140734
-19.529329,-44.133633
-19.528254,-44.130498
-19.534464,-44.114446
-19.547706,-44.119070
-19.559540,-44.135092
-19.541887,-44.147432
-19.532416,-44.121112
-19.546665,-44.125926
-19.536971,-44.114844
-19.537718,-44.154710
-19.528832,-44.136659
-19.531814,-44.146874
-19.538305,-44.123364
-19.542164,-44.123143
-19.562485,-44.138076
-19.540649,-44.136799
-19.560228,-44.113945
-19.558517,-44.133684
-19.564710,-44.112104
-19.565957,-44.155204
-19.544669,-44.117959
-19.563869,-44.110736
-19.560182,-44.124666
-19.565588,-44.140169
-19.559405,-44.112618
-19.551207,-44.138070
-19.536038,-44.136384
