@lat,@lon
-20.436030,-44.760013
-20.448447,-44.768908
-20.431514,-44.758405
-20.441116,-44.765342
-20.454130,-44.773245
-20.441188,-44.775928
-20.428231,-44.772503
-20.450575,-44.755586
-20.430883,-44.771872
-20.426232,-44.767943
-20.441771,-44.773621
-20.435733,-44.761463
-20.447513,-44.782249
-20.447867,-44.781888
-20.425120,-44.782495
-20.444239,-44.783456
-20.440632,-44.774823
-20.433641,-44.756459
-20.441976,-44.774614
-20.435900,-44.775588
-20.441636,-44.763300
-20.453576,-44.769263
-20.450237,-44.758423
-20.452141,-44.775231
-20.452591,-44.766982
-20.433401,-44.779252
-20.450955,-44.766173
-20.435204,-44.762856
-20.446133,-44.772302
-20.453881,-44.756590
-20.442472,-44.764073
-20.428964,-44.754024
-20.430666,-44.778158
-20.432309,-44.753686
-20.434769,-44.773077
-20.452634,-44.755060
-20.435499,-44.771478
-20.429849,-44.782479
-20.430301,-44.778072
-20.430223,-44.760535
-20.436410,-44.758518
-20.446964,-44.780551
-20.439969,-44.759865
-20.425931,-44.757669
-20.433663,-44.762839
-20.442221,-44.764715
-20.449236,-44.783141
-20.436261,-44.760433
-20.447871,-44.754910
-20.446841,-44.770914
-20.442178,-44.766203
-20.442343,-44.779498
-20.444320,-44.779654
-20.434744,-44.781166
-20.450858,-44.758832
-20.436627,-44.779197
-20.449080,-44.769254
-20.435624,-44.768385
-20.442119,-44.775779
-20.442777,-44.778906
-20.454051,-44.780359
-20.443711,-44.773151
-20.449628,-44.768093
-20.450177,-44.755696
-20.427430,-44.776571
-20.429598,-44.753999
-20.441960,-44.774626
-20.452020,-44.782376
-20.426575,-44.779865
-20.440436,-44.764349
-20.445482,-44.757322
-20.452842,-44.760573
-20.447775,-44.780366
-20.434752,-44.761993
-20.443775,-44.756265
-20.446773,-44.762512
-20.438094,-44.753742
-20.454104,-44.762686
-20.444070,-44.760342
-20.433352,-44.773596
-20.435205,-44.778500
-20.430434,-44.756759
-20.443750,-44.780716
-20.433822,-44.780634
-20.451711,-44.781775
-20.426662,-44.755554
-20.425654,-44.755359
-20.437503,-44.762842
-20.439678,-44.763705
-20.444029,-44.781572
-20.439392,-44.779643
-20.434092,-44.771120
-20.440862,-44.754417
-20.448787,-44.769895
-20.450449,-44.781754
-20.451231,-44.774089
-20.432237,-44.771782
-20.452919,-44.782838
-20.425841,-44.777149
-20.453303,-44.763012
