@lat,@lon
-18.361421,-44.450848
-18.368126,-44.449419
-18.371653,-44.454719
-18.349661,-44.453152
-18.361417,-44.458592
-18.378339,-44.457123
-18.357329,-44.442951
-18.352184,-44.450999
-18.361522,-44.458444
-18.371201,-44.444321
-18.376397,-44.466070
-18.348014,-44.464262
-18.350229,-44.450345
-18.377110,-44.449622
-18.378100,-44.442971
-18.367445,-44.451171
-18.352498,-44.464861
-18.351716,-44.455092
-18.350057,-44.462371
-18.352306,-44.465769
-18.359538,-44.443042
-18.373347,-44.457558
-18.358130,-44.450823
-18.363438,-44.445776
-18.376504,-44.468572
-18.374315,-44.447851
-18.366795,-44.442690
-18.355894,-44.446354
-18.368719,-44.462247
-18.350796,-44.466607
-18.374274,-44.464504
-18.357888,-44.441564
-18.373133,-44.462770
-18.352789,-44.443753
-18.367328,-44.450717
-18.370303,-44.441450
-18.370160,-44.447416
-18.350673,-44.455214
-18.349168,-44.447331
-18.349396,-44.458120
-18.352232,-44.452178
-18.384080,-44.445088
-18.373319,-44.453931
-18.356716,-44.454829
-18.350327,-44.464396
-18.373881,-44.442430
-18.378141,-44.447164
-18.381495,-44.442336
-18.359642,-44.457032
-18.367102,-44.459753
-18.366395,-44.445762
-18.371653,-44.445277
-18.357728,-44.450117
-18.370621,-44.444306
-18.380419,-44.462524
-18.370337,-44.463172
-18.354424,-44.452311
-18.352640,-44.464081
-18.380121,-44.460042
-18.383073,-44.457655
-18.362777,-44.451021
-18.355423,-44.449687
-18.384687,-44.461523
-18.377999,-44.469343
-18.372513,-44.454298
-18.368400,-44.451914
-18.367234,-44.453313
-18.356547,-44.442782
-18.358387,-44.458177
-18.357324,-44.450977
-18.363290,-44.454844
-18.373396,-44.461107
-18.378415,-44.452565
-18.371228,-44.446349
-18.376527,-44.463021
-18.366004,-44.456412
-18.350905,-44.456314
-18.381597,-44.460357
-18.376348,-44.453317
-18.377489,-44.466108
-18.355143,-44.466098
-18.355885,-44.464218
-18.347939,-44.447158
-18.364250,-44.460154
-18.372471,-44.447505
-18.375262,-44.454670
-18.361355,-44.451312
-18.380519,-44.454675
-18.363054,-44.459800
-18.372847,-44.449847
-18.373228,-44.458796
-18.376802,-44.455703
-18.382641,-44.452718
-18.382197,-44.465919
-18.349024,-44.441162
-18.356725,-44.452066
-18.377646,-44.454181
-18.353658,-44.441496
-18.375239,-44.456729
-18.367736,-44.465699
