@lat,@lon
-18.237121,-43.595457
-18.251883,-43.601333
-18.249217,-43.592578
-18.226585,-43.603537
-18.232831,-43.584271
-18.240937,-43.609450
-18.238230,-43.583715
-18.230166,-43.590866
-18.250888,-43.591102
-18.252073,-43.584456
-18.244361,-43.598662
-18.244490,-43.585662
-18.231056,-43.588799
-18.232127,-43.599982
-18.242215,-43.594163
-18.250872,-43.604025
-18.226875,-43.595462
-18.239244,-43.592575
-18.246677,-43.588612
-18.226642,-43.593657
-18.245223,-43.596882
-18.231657,-43.614730
-18.239143,-43.587276
-18.239645,-43.613748
-18.232351,-43.585207
-18.227466,-43.604259
-18.235963,-43.591052
-18.240933,-43.612207
-18.235541,-43.596122
-18.233165,-43.598692
-18.251425,-43.598620
-18.238929,-43.584512
-18.244769,-43.597674
-18.236150,-43.612948
-18.242253,-43.608144
-18.246594,-43.596710
-18.248049,-43.587701
-18.246241,-43.600528
-18.246151,-43.600192
-18.238754,-43.605195
-18.253309,-43.592212
-18.242757,-43.610576
-18.231402,-43.612018
-18.234418,-43.600697
-18.232848,-43.604450
-18.244752,-43.603263
-18.245357,-43.603862
-18.245400,-43.605165
-18.238232,-43.600970
-18.234574,-43.615278
-18.234359,-43.587167
-18.251745,-43.586264
-18.252644,-43.614442
-18.251641,-43.593617
-18.246818,-43.594238
-18.238399,-43.597760
-18.235757,-43.613318
-18.243265,-43.588332
-18.231821,-43.589210
-18.240108,-43.584410
-18.252650,-43.605216
-18.235534,-43.592117
-18.232205,-43.594013
-18.248941,-43.605211
-18.242081,-43.616742
-18.253279,-43.602811
-18.229647,-43.614011
-18.239292,-43.615679
-18.229889,-43.586977
-18.246958,-43.599761
-18.243191,-43.587772
-18.233941,-43.587147
-18.240248,-43.587460
-18.230247,-43.604560
-18.232892,-43.591528
-18.231197,-43.604819
-18.239241,-43.589964
-18.253715,-43.592036
-18.238237,-43.593358
-18.240106,-43.616355
-18.235044,-43.584976
-18.238558,-43.615490
-18.232261,-43.613035
-18.238544,-43.587321
-18.234348,-43.607640
-18.238626,-43.606951
-18.243676,-43.602364
-18.238793,-43.613524
-18.232913,-43.601223
-18.242924,-43.608326
-18.226759,-43.615626
-18.242771,-43.590419
-18.243968,-43.615563
-18.247907,-43.595594
-18.249792,-43.585258
-18.232817,-43.609824
-18.243224,-43.585408
-18.248279,-43.594028
-18.237290,-43.609093
-18.243935,-43.610585
