@lat,@lon
-20.194580,-44.834914
-20.171925,-44.936216
-20.151553,-44.894932
-20.193400,-44.861088
-20.177074,-44.935954
-20.190091,-44.844037
-20.102981,-44.903920
-20.102228,-44.945109
-20.154362,-44.943119
-20.162689,-44.896859
-20.110599,-44.927683
-20.200335,-44.945816
-20.164205,-44.902529
-20.110521,-44.832845
-20.116287,-44.929263
-20.179767,-44.946372
-20.136078,-44.846507
-20.121987,-44.881958
-20.158363,-44.903177
-20.112515,-44.886930
-20.121754,-44.930999
-20.123915,-44.908503
-20.111988,-44.846887
-20.167415,-44.859200
-20.138392,-44.889031
-20.149305,-44.931751
-20.099217,-44.904717
-20.117046,-44.876043
-20.196585,-44.875125
-20.151457,-44.861280
-20.193561,-44.912418
-20.163578,-44.946479
-20.136234,-44.917124
-20.177708,-44.849701
-20.138444,-44.870829
-20.185477,-44.891866
-20.185207,-44.862480
-20.160045,-44.855375
-20.100576,-44.878211
-20.187247,-44.870288
-20.190318,-44.917107
-20.107377,-44.843757
-20.184947,-44.878381
-20.196265,-44.844820
-20.154953,-44.831385
-20.190226,-44.928657
-20.177989,-44.866248
-20.182328,-44.869596
-20.150296,-44.870594
-20.159263,-44.892346
-20.119550,-44.855021
-20.180299,-44.855191
-20.101773,-44.881293
-20.190787,-44.844671
-20.110401,-44.903712
-20.167593,-44.844427
-20.168589,-44.873427
-20.099610,-44.924369
-20.116632,-44.877792
-20.123838,-44.939834
-20.147445,-44.845145
-20.165969,-44.853117
-20.197552,-44.848542
-20.135985,-44.837500
-20.191470,-44.937064
-20.118014,-44.894990
-20.139924,-44.930201
-20.102316,-44.863770
-20.118652,-44.919020
-20.096634,-44.919902
-20.159012,-44.852778
-20.137453,-44.915814
-20.122608,-44.856718
-20.143759,-44.908783
-20.117927,-44.884473
-20.140829,-44.898335
-20.201755,-44.928762
-20.195377,-44.918237
-20.133773,-44.853117
-20.171229,-44.862914
-20.114252,-44.905488
-20.168880,-44.868386
-20.195179,-44.870408
-20.102122,-44.848377
-20.171364,-44.833779
-20.114322,-44.887545
-20.180471,-44.836665
-20.184136,-44.910993
-20.119839,-44.929511
-20.149657,-44.836444
-20.135065,-44.947353
-20.164268,-44.911502
-20.189423,-44.835145
-20.168029,-44.853480
-20.154289,-44.831869
-20.104466,-44.836546
-20.156299,-44.911870
-20.125129,-44.940909
-20.183479,-44.915116
-20.141089,-44.909797
-20.134547,-44.887752
-20.101159,-44.942833
-20.155295,-44.928782
-20.097547,-44.897241
-20.148652,-44.901408
-20.180429,-44.896978
-20.111019,-44.868046
-20.173010,-44.890264
-20.174289,-44.943457
-20.132074,-44.913908
-20.117160,-44.833820
-20.153802,-44.867488
-20.128423,-44.895197
-20.108163,-44.921948
-20.155803,-44.882890
-20.129193,-44.941054
-20.181911,-44.852869
-20.149424,-44.860426
-20.174383,-44.867634
-20.126114,-44.834814
-20.139757,-44.843177
-20.137021,-44.922848
-20.171765,-44.898996
-20.172568,-44.873002
-20.109271,-44.886692
-20.188285,-44.946760
-20.132900,-44.927486
-20.161222,-44.891416
-20.184455,-44.838673
-20.180176,-44.885755
-20.195167,-44.837972
-20.116761,-44.861046
-20.148617,-44.849434
-20.132817,-44.892518
-20.129855,-44.900737
-20.110131,-44.940714
-20.139253,-44.864264
-20.107555,-44.865362
-20.138410,-44.925519
-20.179303,-44.890545
-20.173317,-44.870997
-20.100162,-44.902951
-20.178150,-44.906089
-20.185478,-44.841495
-20.151827,-44.842394
-20.105804,-44.899732
-20.161342,-44.920177
-20.140866,-44.930184
-20.127825,-44.939746
-20.119489,-44.832195
-20.122401,-44.923101
-20.119816,-44.837726
-20.112793,-44.833024
-20.135513,-44.858572
-20.150427,-44.944581
-20.190039,-44.883189
-20.194198,-44.858358
-20.125559,-44.928752
-20.172346,-44.870128
-20.200127,-44.882642
-20.199317,-44.944736
-20.122275,-44.923690
-20.196717,-44.936301
-20.161780,-44.854780
-20.172141,-44.910940
-20.136888,-44.871897
-20.187119,-44.863617
-20.125580,-44.903379
-20.121190,-44.833896
-20.194446,-44.859951
-20.157812,-44.897485
-20.155111,-44.928495
-20.149524,-44.893895
-20.196815,-44.928303
-20.143419,-44.860823
-20.112480,-44.921021
-20.109929,-44.904089
-20.115963,-44.838448
-20.123017,-44.932283
-20.151041,-44.847012
-20.139980,-44.849699
-20.146090,-44.902950
-20.181232,-44.888678
-20.104994,-44.880430
-20.155334,-44.862470
-20.168444,-44.870958
-20.192158,-44.852543
-20.106481,-44.940311
-20.187848,-44.843727
-20.167142,-44.920884
-20.124932,-44.911950
-20.102292,-44.928728
-20.187565,-44.905827
-20.180089,-44.857187
-20.181164,-44.883706
-20.196065,-44.835141
-20.120968,-44.894900
-20.101773,-44.854202
-20.110894,-44.898888
-20.114738,-44.911603
