@lat,@lon
-22.465445,-46.020216
-22.461175,-46.014974
-22.465505,-46.019325
-22.463993,-46.014604
-22.462227,-46.017420
-22.464538,-46.017576
-22.464536,-46.018141
-22.464533,-46.020976
-22.464783,-46.016237
-22.464225,-46.019912
-22.464626,-46.014976
-22.461888,-46.016715
-22.464928,-46.021100
-22.460462,-46.018208
-22.462083,-46.018507
-22.461273,-46.016556
-22.460744,-46.013859
-22.463108,-46.015257
-22.460786,-46.019304
-22.463315,-46.020666
-22.462498,-46.017989
-22.464385,-46.014659
-22.461775,-46.014514
-22.460444,-46.017365
-22.462376,-46.016368
-22.463341,-46.019799
-22.464106,-46.014070
-22.461477,-46.020662
-22.465846,-46.017044
-22.460892,-46.020166
-22.460804,-46.015657
-22.465438,-46.014164
-22.462917,-46.020609
-22.466121,-46.018566
-22.464990,-46.014802
-22.466277,-46.017623
-22.464406,-46.015243
-22.465290,-46.014370
-22.461948,-46.020116
-22.463974,-46.019586
-22.461344,-46.020408
-22.461552,-46.019219
-22.461226,-46.013506
-22.460672,-46.015752
-22.462566,-46.014752
-22.460330,-46.013316
-22.464278,-46.015381
-22.461943,-46.017174
-22.461966,-46.016973
-22.461556,-46.014293
-22.462883,-46.019307
-22.462049,-46.021252
-22.463587,-46.016376
-22.460796,-46.020292
-22.462471,-46.017784
-22.460008,-46.015968
-22.465842,-46.013658
-22.461521,-46.013398
-22.462803,-46.020396
-22.464691,-46.014924
-22.460801,-46.016622
-22.460198,-46.014072
-22.461168,-46.013219
-22.465257,-46.018249
-22.462958,-46.020241
-22.464162,-46.016420
-22.461883,-46.021019
-22.464352,-46.016773
-22.462333,-46.018464
-22.465403,-46.017708
-22.463179,-46.020378
-22.463026,-46.017290
-22.465278,-46.019477
-22.464164,-46.019170
-22.460732,-46.021110
-22.463955,-46.015538
-22.461908,-46.018767
-22.462590,-46.016966
-22.464914,-46.017815
-22.461452,-46.013847
-22.460171,-46.015314
-22.465898,-46.013126
-22.461790,-46.021204
-22.466226,-46.019156
-22.465231,-46.014771
-22.465189,-46.018464
-22.464952,-46.015384
-22.460114,-46.016067
-22.462063,-46.016515
-22.461619,-46.019597
-22.464326,-46.013312
-22.466082,-46.019590
-22.461736,-46.018683
-22.462894,-46.013340
-22.464124,-46.021162
-22.460340,-46.017906
-22.461048,-46.015690
-22.466392,-46.015591
-22.465142,-46.015283
-22.459868,-46.017411
