@lat,@lon
-14.948487,-46.237562
-14.951978,-46.234034
-14.955990,-46.237933
-14.948521,-46.228622
-14.950066,-46.230002
-14.950156,-46.230432
-14.951193,-46.234859
-14.951030,-46.229370
-14.952012,-46.236538
-14.949022,-46.239301
-14.948505,-46.236297
-14.947789,-46.233945
-14.950657,-46.234295
-14.949848,-46.240320
-14.954229,-46.229934
-14.952149,-46.233104
-14.949724,-46.236818
-14.951422,-46.241509
-14.953669,-46.231895
-14.953686,-46.241669
-14.949625,-46.234395
-14.951719,-46.227794
-14.951953,-46.237689
-14.951612,-46.230032
-14.955620,-46.233216
-14.950415,-46.235235
-14.952590,-46.232140
-14.953216,-46.229048
-14.951242,-46.232930
-14.948260,-46.240509
-14.955827,-46.236443
-14.952820,-46.234483
-14.948548,-46.233697
-14.950051,-46.240409
-14.954418,-46.238479
-14.948562,-46.233261
-14.948518,-46.237846
-14.955727,-46.234728
-14.953933,-46.229669
-14.955833,-46.233738
-14.953707,-46.238765
-14.954157,-46.228021
-14.948977,-46.227955
-14.948310,-46.234737
-14.953181,-46.234462
-14.951822,-46.235360
-14.949559,-46.232607
-14.948326,-46.234754
-14.948470,-46.235504
-14.952920,-46.240495
-14.951055,-46.231839
-14.951309,-46.231507
-14.947807,-46.230760
-14.951568,-46.233559
-14.950679,-46.237429
-14.955366,-46.231265
-14.955139,-46.240114
-14.948001,-46.239542
-14.952066,-46.239202
-14.951561,-46.229217
-14.949885,-46.238965
-14.949705,-46.241077
-14.954315,-46.239118
-14.953408,-46.235256
-14.950456,-46.228466
-14.951844,-46.230389
-14.953569,-46.241140
-14.948410,-46.236164
-14.949177,-46.229246
-14.953145,-46.232716
-14.950301,-46.232967
-14.951181,-46.238815
-14.953432,-46.229268
-14.948637,-46.234765
-14.949951,-46.230595
-14.953284,-46.230696
-14.948226,-46.231408
-14.954679,-46.239817
-14.954324,-46.231755
-14.954192,-46.231175
-14.950503,-46.232792
-14.952708,-46.232384
-14.949312,-46.232872
-14.948522,-46.229406
-14.950933,-46.233412
-14.947711,-46.230346
-14.948983,-46.238561
-14.954010,-46.232780
-14.951481,-46.227953
-14.949291,-46.229517
-14.950125,-46.240376
-14.948751,-46.234520
-14.947894,-46.229503
-14.954984,-46.237527
-14.947943,-46.233013
-14.950221,-46.239286
-14.954441,-46.232113
-14.953336,-46.233992
-14.954678,-46.231744
-14.952386,-46.230538
