@lat,@lon
-18.881663,-41.943635
-18.895997,-41.912338
-18.876428,-41.899526
-18.895256,-41.990805
-18.876374,-41.945367
-18.843879,-41.921420
-18.904602,-41.895675
-18.904491,-41.950073
-18.885615,-41.916090
-18.902678,-41.995413
-18.871376,-41.945219
-18.855885,-41.940827
-18.883111,-41.932752
-18.881125,-41.948390
-18.896755,-41.912267
-18.910241,-41.939010
-18.852237,-41.979544
-18.896966,-41.950288
-18.863223,-41.993883
-18.885328,-41.906227
-18.829442,-41.989012
-18.884918,-41.926897
-18.907452,-41.949608
-18.862729,-41.991344
-18.897031,-41.975286
-18.836811,-41.982091
-18.915345,-41.910957
-18.914902,-41.988322
-18.881940,-41.909067
-18.895298,-41.973968
-18.840267,-41.970048
-18.915226,-41.937412
-18.861155,-41.905445
-18.834679,-41.992090
-18.904954,-41.961224
-18.873797,-41.915470
-18.828651,-41.967677
-18.885661,-41.960402
-18.892970,-41.985551
-18.854926,-41.963591
-18.873780,-41.933752
-18.849329,-41.915582
-18.890140,-41.971828
-18.856583,-41.997668
-18.900264,-41.906930
-18.892816,-41.948962
-18.873875,-41.955800
-18.835254,-41.976629
-18.910413,-41.967936
-18.875488,-41.957282
-18.870800,-41.956087
-18.877574,-41.913585
-18.873204,-41.902700
-18.855982,-41.976853
-18.871869,-41.969082
-18.912634,-41.924950
-18.905801,-41.968145
-18.835438,-41.922946
-18.861583,-41.904261
-18.880797,-41.986142
-18.899586,-41.960760
-18.885727,-41.977106
-18.832069,-41.977357
-18.878493,-41.900600
-18.840753,-41.985281
-18.907322,-41.968199
-18.894710,-41.895219
-18.872494,-41.942333
-18.895938,-41.983131
-18.836766,-41.961433
-18.836039,-41.991120
-18.853012,-41.900228
-18.864190,-41.939184
-18.836459,-41.986712
-18.897969,-41.921121
-18.871483,-41.966270
-18.855903,-41.957580
-18.864584,-41.995306
-18.898453,-41.949305
-18.891155,-41.915644
-18.839440,-41.941930
-18.877470,-41.914376
-18.900766,-41.945072
-18.881240,-41.966419
-18.829765,-41.918878
-18.915401,-41.938596
-18.853275,-41.972737
-18.876636,-41.897591
-18.831132,-41.977071
-18.837357,-41.950583
-18.868755,-41.965471
-18.831843,-41.950519
-18.878430,-41.974839
-18.865090,-41.998450
-18.832544,-41.903549
-18.851561,-41.924123
-18.866664,-41.969382
-18.835599,-41.905607
-18.909828,-41.973724
-18.908632,-41.990003
-18.891199,-41.956116
-18.860359,-41.940819
-18.841426,-41.998627
-18.911788,-41.932558
-18.904717,-41.899419
-18.862123,-41.969096
-18.843600,-41.919133
-18.829891,-41.978807
-18.901884,-41.976593
-18.878652,-41.916551
-18.895686,-41.902799
-18.890751,-41.904568
-18.864285,-41.905266
-18.894092,-41.899954
-18.902520,-41.936175
-18.881271,-41.964368
-18.840521,-41.944876
-18.902067,-41.914261
-18.880460,-41.952785
-18.887570,-41.954720
-18.871925,-41.971000
-18.906628,-41.924820
-18.839692,-41.912947
-18.867214,-41.927808
-18.881650,-41.900585
-18.907814,-41.962593
-18.899321,-41.970845
-18.888398,-41.963424
-18.835130,-41.994605
-18.863616,-41.992809
-18.841091,-41.974396
-18.883829,-41.996533
-18.852132,-41.904569
-18.845024,-41.930807
-18.872729,-41.957475
-18.904873,-41.936684
-18.877880,-41.951297
-18.914454,-41.941383
-18.876548,-41.911175
-18.846228,-41.943283
-18.889255,-41.996762
-18.913896,-41.949067
-18.893338,-41.969093
-18.875109,-41.969483
-18.858670,-41.953537
-18.884041,-41.977462
-18.906024,-41.975038
-18.870471,-41.901192
-18.887742,-41.995596
-18.840597,-41.975289
-18.914627,-41.994454
-18.915441,-41.914688
-18.845600,-41.909889
-18.842900,-41.965368
-18.915187,-41.968377
-18.848967,-41.951407
-18.890803,-41.931074
-18.853099,-41.967328
-18.871618,-41.909839
-18.879384,-41.991240
-18.884623,-41.959461
-18.911748,-41.975745
-18.834867,-41.933503
-18.914730,-41.913925
-18.849770,-41.949028
-18.864856,-41.995264
-18.875539,-41.955463
-18.872998,-41.955153
-18.869858,-41.936503
-18.879940,-41.909691
-18.899640,-41.987307
-18.841101,-41.968093
-18.835577,-41.917179
-18.830687,-41.964825
-18.833756,-41.978214
-18.859974,-41.968339
-18.905872,-41.895848
-18.902550,-41.928059
-18.872851,-41.902998
-18.845083,-41.938747
-18.837579,-41.953439
-18.862089,-41.988575
-18.862518,-41.959642
-18.861704,-41.910721
-18.835801,-41.959351
-18.862072,-41.908387
-18.841405,-41.954236
-18.897682,-41.930957
-18.867183,-41.992816
-18.845380,-41.966049
-18.832294,-41.993325
-18.855668,-41.921827
-18.850114,-41.989209
-18.855450,-41.979026
-18.836894,-41.954511
-18.848467,-41.910333
-18.878471,-41.947855
-18.897718,-41.964727
-18.891415,-41.976885
-18.879418,-41.928568
