@lat,@lon
-19.471260,-42.537613
-19.465002,-42.588588
-19.427927,-42.568890
-19.491491,-42.583766
-19.509702,-42.585044
-19.450034,-42.555271
-19.430297,-42.562652
-19.483404,-42.586874
-19.477342,-42.529695
-19.473446,-42.533493
-19.510863,-42.571530
-19.443389,-42.536010
-19.506359,-42.527778
-19.432442,-42.552501
-19.481861,-42.565023
-19.475499,-42.568369
-19.471925,-42.541035
-19.436314,-42.572308
-19.496136,-42.556378
-19.444988,-42.543494
-19.491393,-42.544558
-19.462956,-42.570143
-19.433336,-42.549603
-19.454814,-42.581070
-19.463357,-42.568931
-19.498749,-42.566254
-19.439354,-42.575492
-19.455826,-42.548460
-19.493628,-42.553599
-19.450560,-42.538332
-19.436261,-42.526117
-19.495313,-42.546484
-19.498339,-42.579168
-19.487613,-42.549962
-19.446940,-42.527944
-19.478085,-42.578214
-19.452693,-42.523802
-19.428948,-42.529726
-19.496685,-42.539957
-19.478001,-42.577656
-19.506906,-42.538892
-19.470580,-42.552007
-19.509540,-42.587183
-19.499575,-42.560470
-19.510595,-42.557362
-19.501310,-42.580785
-19.503302,-42.535402
-19.467566,-42.559983
-19.477714,-42.578234
-19.434306,-42.559716
-19.474416,-42.584955
-19.434131,-42.579347
-19.468039,-42.577590
-19.450206,-42.576459
-19.446489,-42.526415
-19.505735,-42.553680
-19.444750,-42.585144
-19.455989,-42.548834
-19.473067,-42.586542
-19.503592,-42.532166
-19.464133,-42.562309
-19.478171,-42.567399
-19.500253,-42.558272
-19.472056,-42.564020
-19.461098,-42.544713
-19.448974,-42.582951
-19.508066,-42.524815
-19.444816,-42.564162
-19.478854,-42.532764
-19.432504,-42.528972
-19.505391,-42.546558
-19.493453,-42.550193
-19.441028,-42.530735
-19.449305,-42.527592
-19.446317,-42.582013
-19.451251,-42.562532
-19.427986,-42.580307
-19.450184,-42.559912
-19.478865,-42.580568
-19.489355,-42.535653
-19.447551,-42.555530
-19.466976,-42.540078
-19.491223,-42.573173
-19.482664,-42.548899
-19.508857,-42.538832
-19.484720,-42.524744
-19.504790,-42.550507
-19.476646,-42.552040
-19.430662,-42.584908
-19.463971,-42.527483
-19.433211,-42.534405
-19.448013,-42.574403
-19.491985,-42.532545
-19.501572,-42.553870
-19.501057,-42.566243
-19.493888,-42.585463
-19.498471,-42.529744
-19.510513,-42.551460
-19.489044,-42.565127
-19.451322,-42.567218
-19.430178,-42.546137
-19.484980,-42.553223
-19.429476,-42.589539
-19.494954,-42.528451
-19.510005,-42.573352
-19.475935,-42.544217
-19.497456,-42.569110
-19.497452,-42.530699
-19.467507,-42.570881
-19.446313,-42.581276
-19.475404,-42.566378
-19.441864,-42.565893
-19.456615,-42.577735
-19.497263,-42.530336
-19.442687,-42.567057
-19.476619,-42.578753
-19.457370,-42.565350
-19.466815,-42.554562
-19.499798,-42.581791
-19.486871,-42.567249
-19.506401,-42.581414
-19.457163,-42.538908
-19.462449,-42.548168
-19.441830,-42.569122
-19.437293,-42.547327
-19.503918,-42.531609
-19.495019,-42.552506
-19.440000,-42.567374
-19.430894,-42.568869
-19.435492,-42.569054
-19.485364,-42.582346
-19.432833,-42.526778
-19.486773,-42.538217
-19.505030,-42.580340
-19.503396,-42.553647
-19.447301,-42.526928
-19.504908,-42.558267
-19.435788,-42.587153
-19.495328,-42.555711
-19.495997,-42.524795
-19.456657,-42.569230
-19.472582,-42.552681
-19.450862,-42.575719
-19.453875,-42.530484
-19.472257,-42.577543
-19.468356,-42.575403
-19.432077,-42.588032
-19.439549,-42.573201
-19.435419,-42.582319
-19.444734,-42.577279
-19.475357,-42.551469
-19.508075,-42.542803
-19.451766,-42.531737
-19.509052,-42.564373
-19.462750,-42.566000
-19.470901,-42.547543
-19.468159,-42.542915
-19.459925,-42.560269
-19.469975,-42.577322
-19.429658,-42.548000
-19.450659,-42.561527
-19.463188,-42.569294
-19.467704,-42.581054
-19.465106,-42.550237
-19.451376,-42.580617
-19.493367,-42.531890
-19.442960,-42.555465
-19.458796,-42.577728
-19.454069,-42.544706
-19.454879,-42.534976
-19.508128,-42.565120
-19.435300,-42.567377
-19.449015,-42.538158
-19.502944,-42.546238
-19.499632,-42.556812
-19.466848,-42.586971
-19.500551,-42.571283
-19.446500,-42.580301
-19.475828,-42.528522
-19.437238,-42.553770
-19.467810,-42.564475
-19.454858,-42.567458
-19.434449,-42.547650
-19.505225,-42.535908
-19.469503,-42.584447
-19.492386,-42.527482
-19.476061,-42.530605
-19.467606,-42.579681
-19.490659,-42.576723
-19.468369,-42.566920
-19.480824,-42.534088
-19.450708,-42.577755
-19.497174,-42.569642
-19.473170,-42.532900
-19.490053,-42.584068
-19.499410,-42.538352
-19.448325,-42.554365
-19.439095,-42.534288
-19.441795,-42.562998
-19.468536,-42.585664
