@lat,@lon
-15.791136,-43.342604
-15.848088,-43.356667
-15.803276,-43.323961
-15.814912,-43.344304
-15.843811,-43.363720
-15.846811,-43.321896
-15.828776,-43.348009
-15.858174,-43.331602
-15.813350,-43.355643
-15.762195,-43.326569
-15.801051,-43.316450
-15.826932,-43.344537
-15.853517,-43.374371
-15.766658,-43.330205
-15.797943,-43.307498
-15.827337,-43.355822
-15.777401,-43.353895
-15.789758,-43.305935
-15.841593,-43.352904
-15.852037,-43.354830
-15.797283,-43.346270
-15.805553,-43.332938
-15.762301,-43.312113
-15.765850,-43.310928
-15.771375,-43.368536
-15.853635,-43.342462
-15.788172,-43.379102
-15.822573,-43.334732
-15.781138,-43.290830
-15.770149,-43.344746
-15.793367,-43.322581
-15.762568,-43.341396
-15.768375,-43.352013
-15.800408,-43.369508
-15.776228,-43.356732
-15.818925,-43.302659
-15.816780,-43.361979
-15.837691,-43.321708
-15.773565,-43.346808
-15.792242,-43.343359
-15.764805,-43.369371
-15.822359,-43.356063
-15.808910,-43.333507
-15.764268,-43.359651
-15.767843,-43.361488
-15.767969,-43.304147
-15.818353,-43.363608
-15.782745,-43.296865
-15.838254,-43.317557
-15.822259,-43.351665
-15.826528,-43.371635
-15.790051,-43.342221
-15.834559,-43.307310
-15.841331,-43.327910
-15.849011,-43.303098
-15.789681,-43.325083
-15.840689,-43.332306
-15.845057,-43.359831
-15.799715,-43.335283
-15.831674,-43.374137
-15.785382,-43.343748
-15.774120,-43.295124
-15.768924,-43.348807
-15.812006,-43.338163
-15.834845,-43.334508
-15.854323,-43.353088
-15.827534,-43.340319
-15.846080,-43.358807
-15.856998,-43.300414
-15.842745,-43.297528
-15.768207,-43.335538
-15.774824,-43.362378
-15.802131,-43.373599
-15.782492,-43.327666
-15.838380,-43.298838
-15.774107,-43.343280
-15.770516,-43.295975
-15.834871,-43.314918
-15.767830,-43.338520
-15.831947,-43.359788
-15.823339,-43.315526
-15.783545,-43.313782
-15.827047,-43.349233
-15.833980,-43.302945
-15.776133,-43.318530
-15.814806,-43.329197
-15.768434,-43.334706
-15.860857,-43.321152
-15.843866,-43.318260
-15.854658,-43.313135
-15.793929,-43.371263
-15.792493,-43.322350
-15.813045,-43.363677
-15.780282,-43.323297
-15.805587,-43.318857
-15.854588,-43.315237
-15.805722,-43.327377
-15.815478,-43.320144
-15.846085,-43.304406
-15.842528,-43.332009
