@lat,@lon
-21.790315,-43.348293
-21.705000,-43.344036
-21.721293,-43.304474
-21.770064,-43.351248
-21.660860,-43.430141
-21.774864,-43.312585
-21.776371,-43.413245
-21.741080,-43.395164
-21.753622,-43.445503
-21.694840,-43.453327
-21.687002,-43.402978
-21.713567,-43.333568
-21.745687,-43.379417
-21.697986,-43.397401
-21.696960,-43.456012
-21.700922,-43.318511
-21.680707,-43.448355
-21.775902,-43.402356
-21.724015,-43.364353
-21.664096,-43.332600
-21.694000,-43.318359
-21.656219,-43.448002
-21.757660,-43.442876
-21.745398,-43.421672
-21.721518,-43.389635
-21.796237,-43.383953
-21.699058,-43.379312
-21.786844,-43.313282
-21.792549,-43.422754
-21.742379,-43.321013
-21.792902,-43.340052
-21.737441,-43.440176
-21.702220,-43.394457
-21.668332,-43.369775
-21.736743,-43.381481
-21.692294,-43.307952
-21.787186,-43.403857
-21.751783,-43.437216
-21.657871,-43.431977
-21.721796,-43.381800
-21.684137,-43.316505
-21.664935,-43.449411
-21.665804,-43.318395
-21.799938,-43.344797
-21.687602,-43.418652
-21.678659,-43.315187
-21.792305,-43.329693
-21.795266,-43.449456
-21.782492,-43.394601
-21.785378,-43.432640
-21.699477,-43.327317
-21.671555,-43.305654
-21.753456,-43.426477
-21.740680,-43.407139
-21.731268,-43.346697
-21.732512,-43.322225
-21.703501,-43.357452
-21.659716,-43.356035
-21.740400,-43.344228
-21.784770,-43.338817
-21.664450,-43.431930
-21.681092,-43.341493
-21.668910,-43.454044
-21.681115,-43.361401
-21.756796,-43.402272
-21.787358,-43.307964
-21.660199,-43.392451
-21.656572,-43.387897
-21.783404,-43.404346
-21.665920,-43.453617
-21.685441,-43.315172
-21.666652,-43.422712
-21.775624,-43.337456
-21.758540,-43.379248
-21.730386,-43.413736
-21.738338,-43.412897
-21.785486,-43.308256
-21.695839,-43.433485
-21.761739,-43.332573
-21.746448,-43.450276
-21.765681,-43.451502
-21.721206,-43.455214
-21.800316,-43.397372
-21.719768,-43.369393
-21.661418,-43.360589
-21.742786,-43.380163
-21.713337,-43.317946
-21.784661,-43.386316
-21.763092,-43.433108
-21.724066,-43.312344
-21.760489,-43.434526
-21.799411,-43.322382
-21.734949,-43.455929
-21.668924,-43.305432
-21.699096,-43.327016
-21.725657,-43.366759
-21.786226,-43.375037
-21.722963,-43.380386
-21.746804,-43.376041
-21.724397,-43.404330
-21.737569,-43.343919
-21.727528,-43.444907
-21.766556,-43.365832
-21.783634,-43.330596
-21.784381,-43.404292
-21.667636,-43.437576
-21.678074,-43.332735
-21.694980,-43.303755
-21.740806,-43.395013
-21.659396,-43.406857
-21.785825,-43.395310
-21.786684,-43.369397
-21.687090,-43.401420
-21.680762,-43.370543
-21.738020,-43.373980
-21.698357,-43.371234
-21.704088,-43.381926
-21.748896,-43.308110
-21.776424,-43.392255
-21.769372,-43.448716
-21.796071,-43.419482
-21.669132,-43.410712
-21.673235,-43.315795
-21.660403,-43.374835
-21.778619,-43.429492
-21.674611,-43.310842
-21.745570,-43.311907
-21.751031,-43.443009
-21.662094,-43.401001
-21.727155,-43.327514
-21.700577,-43.407841
-21.658402,-43.394111
-21.783245,-43.376599
-21.664661,-43.393195
-21.694926,-43.355515
-21.671728,-43.346488
-21.793728,-43.377263
-21.700441,-43.387780
-21.697719,-43.415806
-21.787299,-43.377929
-21.709304,-43.390987
-21.746494,-43.346328
-21.796152,-43.374652
-21.782860,-43.312761
-21.738986,-43.329086
-21.703539,-43.334045
-21.659489,-43.305614
-21.697658,-43.318173
-21.753902,-43.325404
-21.666799,-43.361339
-21.758646,-43.341916
-21.669375,-43.354507
-21.736510,-43.372678
-21.780884,-43.376444
-21.695829,-43.457122
-21.683075,-43.335811
-21.675820,-43.355605
-21.698500,-43.366108
-21.712459,-43.413275
-21.703194,-43.365603
-21.704227,-43.356630
-21.797489,-43.390651
-21.680829,-43.377990
-21.751320,-43.322471
-21.793457,-43.327410
-21.681181,-43.437728
-21.747107,-43.330347
-21.792349,-43.456083
-21.685951,-43.377376
-21.722770,-43.402110
-21.790822,-43.349001
-21.782219,-43.429900
-21.748797,-43.305024
-21.765420,-43.328851
-21.750132,-43.322326
-21.729623,-43.380588
-21.772222,-43.306096
-21.762729,-43.308407
-21.671821,-43.324062
-21.799024,-43.326477
-21.726744,-43.323485
-21.699393,-43.401871
-21.687473,-43.405705
-21.798259,-43.397504
-21.795306,-43.393500
-21.656645,-43.379908
-21.731389,-43.357704
-21.793729,-43.381043
-21.692780,-43.434882
-21.705974,-43.314717
-21.685459,-43.374923
-21.718836,-43.434755
-21.733496,-43.375926
-21.693552,-43.392190
-21.706295,-43.311326
-21.754753,-43.436316
-21.669448,-43.402681
-21.732220,-43.372082
-21.769124,-43.371389
-21.705410,-43.327890
