@lat,@lon
-21.233137,-45.026689
-21.235227,-45.037401
-21.258289,-45.003913
-21.251428,-45.025635
-21.264233,-45.019968
-21.233615,-44.969582
-21.230100,-45.029473
-21.246897,-45.014357
-21.269716,-45.010420
-21.258990,-45.028909
-21.248949,-45.026104
-21.231602,-45.046639
-21.231692,-45.000297
-21.246390,-44.968045
-21.274824,-45.011058
-21.235764,-44.964109
-21.212647,-45.003988
-21.247457,-45.023531
-21.259349,-44.992965
-21.243310,-45.029585
-21.223070,-45.011898
-21.228007,-45.027703
-21.274507,-45.031378
-21.255617,-45.007892
-21.265790,-45.050224
-21.277184,-44.993940
-21.213852,-45.054170
-21.211463,-45.050995
-21.217295,-44.997682
-21.266606,-45.026426
-21.244965,-44.978614
-21.243522,-44.970163
-21.241218,-44.994382
-21.274098,-45.046633
-21.241291,-45.005414
-21.235833,-45.013504
-21.219165,-45.051228
-21.263802,-44.969594
-21.209935,-45.004818
-21.240679,-44.988963
-21.273214,-45.029878
-21.262852,-44.985781
-21.230830,-44.965744
-21.221553,-44.987397
-21.227300,-45.031139
-21.225576,-45.014525
-21.251370,-44.993776
-21.276457,-44.982867
-21.234869,-44.980346
-21.246318,-45.021060
-21.242012,-45.024545
-21.266238,-45.034018
-21.274784,-44.990102
-21.220613,-45.032146
-21.236288,-45.030902
-21.274332,-44.969676
-21.211884,-45.021511
-21.219944,-45.043537
-21.251303,-45.031219
-21.217266,-44.992300
-21.245452,-45.009825
-21.270041,-44.981694
-21.244026,-45.014839
-21.229795,-44.993935
-21.253622,-44.972068
-21.265804,-45.051466
-21.273699,-44.994766
-21.241635,-45.005331
-21.242433,-44.982061
-21.231034,-45.049596
-21.219131,-45.037575
-21.213987,-44.996732
-21.252456,-45.010073
-21.241996,-45.040942
-21.271848,-44.961246
-21.274724,-44.984824
-21.219408,-45.020662
-21.272270,-44.999217
-21.247263,-45.036737
-21.263042,-45.054475
-21.237148,-44.965244
-21.234892,-45.017072
-21.225601,-45.010051
-21.251832,-45.049863
-21.228249,-44.970808
-21.276355,-45.044291
-21.232324,-44.989884
-21.273664,-45.001141
-21.225345,-45.035275
-21.217368,-44.968551
-21.248497,-44.962582
-21.233690,-44.971107
-21.247555,-45.030557
-21.273970,-45.047524
-21.262352,-44.989325
-21.270642,-45.051513
-21.243889,-45.024449
-21.233903,-44.991537
-21.255286,-45.039436
-21.209531,-45.011594
-21.212200,-45.004843
-21.230224,-44.967195
-21.248503,-44.964065
-21.211524,-44.969991
-21.210488,-44.963045
-21.253018,-44.981979
-21.217599,-45.053547
-21.216470,-44.972957
-21.248171,-45.042206
-21.271960,-45.030930
-21.222089,-44.976532
-21.277664,-45.009315
-21.260399,-45.053121
-21.264721,-44.971485
-21.269723,-44.978998
-21.232591,-45.023053
-21.249975,-45.047753
-21.264659,-45.010807
-21.272494,-45.042202
-21.259770,-45.021801
-21.236981,-44.995388
-21.216825,-45.015365
-21.239772,-44.982588
-21.221880,-44.964637
-21.228462,-44.997134
-21.250442,-44.966796
-21.259774,-45.002166
-21.258886,-45.017999
-21.233616,-45.024395
-21.247020,-44.975968
-21.248222,-44.983549
-21.241500,-45.011756
-21.242436,-45.025296
-21.225343,-44.996047
-21.248730,-44.969490
-21.214066,-45.046459
-21.246095,-44.976006
-21.248191,-45.040600
-21.253778,-45.027341
-21.274921,-45.019360
-21.259446,-45.014794
-21.221533,-45.048100
-21.235048,-45.028330
-21.244828,-45.045868
-21.239670,-44.982145
-21.251920,-45.008221
-21.235734,-44.965023
-21.214556,-45.001305
-21.220625,-44.994110
-21.277596,-44.963383
-21.223332,-45.029260
-21.226040,-44.975506
-21.272444,-45.024371
-21.272918,-45.016885
-21.258720,-45.051285
-21.264590,-45.020755
-21.250861,-44.984361
-21.234896,-44.990698
-21.219323,-45.005734
-21.260661,-45.007638
-21.210118,-44.963364
-21.225886,-45.051622
-21.210054,-44.966433
-21.251963,-45.006560
-21.223097,-45.011675
-21.220318,-45.030227
-21.217322,-45.052243
-21.238730,-44.982334
-21.234230,-45.035960
-21.214925,-44.988534
-21.237420,-45.005545
-21.244001,-44.996807
-21.246087,-45.029636
-21.256596,-44.968632
-21.212479,-44.992614
-21.242404,-45.029272
-21.264235,-45.028560
-21.262955,-45.024123
-21.263565,-45.034991
-21.239529,-44.971507
-21.254917,-44.971451
-21.213002,-45.053413
-21.246476,-45.024668
-21.233124,-45.004326
-21.272020,-45.034113
-21.237793,-45.037329
-21.213047,-44.983095
-21.240046,-45.024411
-21.276652,-44.984797
-21.233518,-44.991325
-21.243604,-45.038891
-21.240979,-45.040529
-21.210081,-45.044485
-21.215931,-44.983507
-21.217966,-45.035430
-21.240466,-44.968839
-21.230556,-45.047869
-21.277401,-44.978635
-21.270844,-45.044594
-21.251873,-44.978851
