@lat,@lon
-16.747565,-43.875577
-16.756571,-43.842882
-16.720502,-43.877237
-16.777844,-43.837348
-16.738629,-43.847787
-16.706507,-43.813917
-16.682400,-43.851021
-16.763880,-43.853154
-16.684871,-43.871110
-16.711098,-43.837139
-16.669429,-43.823508
-16.757004,-43.896213
-16.699502,-43.904885
-16.793794,-43.877475
-16.800583,-43.855916
-16.669595,-43.898816
-16.699122,-43.879078
-16.754071,-43.823648
-16.706787,-43.821957
-16.783140,-43.882222
-16.688509,-43.831323
-16.764380,-43.882561
-16.764504,-43.893382
-16.694105,-43.900770
-16.664495,-43.845160
-16.776984,-43.809873
-16.736953,-43.815822
-16.694432,-43.819048
-16.746640,-43.824686
-16.762069,-43.850068
-16.724870,-43.876107
-16.664409,-43.883624
-16.786307,-43.852363
-16.797710,-43.839396
-16.754354,-43.818393
-16.794237,-43.842736
-16.763000,-43.839227
-16.785657,-43.832707
-16.710826,-43.825535
-16.671788,-43.807150
-16.781833,-43.904684
-16.750913,-43.852658
-16.740185,-43.890622
-16.705312,-43.818217
-16.801317,-43.862101
-16.746860,-43.827355
-16.753461,-43.884869
-16.734840,-43.865759
-16.688428,-43.840039
-16.691903,-43.861056
-16.735664,-43.856837
-16.753843,-43.896326
-16.710024,-43.876168
-16.721765,-43.838580
-16.727409,-43.907691
-16.765552,-43.909422
-16.795017,-43.877827
-16.666822,-43.906855
-16.679489,-43.857167
-16.757167,-43.871263
-16.723837,-43.891705
-16.709929,-43.819178
-16.684581,-43.906187
-16.726861,-43.839276
-16.688183,-43.817287
-16.702060,-43.820712
-16.741130,-43.844257
-16.684909,-43.863412
-16.735011,-43.902088
-16.788045,-43.863809
-16.773360,-43.837758
-16.701970,-43.820338
-16.748699,-43.857808
-16.731680,-43.883759
-16.799747,-43.854412
-16.734294,-43.829027
-16.774017,-43.831075
-16.791223,-43.868153
-16.692279,-43.836204
-16.729182,-43.870053
-16.702503,-43.861614
-16.698495,-43.869695
-16.797851,-43.823720
-16.753397,-43.863047
-16.694889,-43.875885
-16.763657,-43.895521
-16.738022,-43.853472
-16.769317,-43.894777
-16.695617,-43.810686
-16.779308,-43.897007
-16.705938,-43.888232
-16.674841,-43.872453
-16.786684,-43.876426
-16.745510,-43.852553
-16.769212,-43.903969
-16.663011,-43.818773
-16.702567,-43.843247
-16.685450,-43.884674
-16.701172,-43.826690
-16.680083,-43.840631
-16.689577,-43.814204
-16.708974,-43.819316
-16.721939,-43.853069
-16.730992,-43.834459
-16.769995,-43.848139
-16.794915,-43.828290
-16.764326,-43.846749
-16.717017,-43.895197
-16.678047,-43.894874
-16.719824,-43.857858
-16.713859,-43.807589
-16.667999,-43.810204
-16.718482,-43.906614
-16.695714,-43.890392
-16.801345,-43.873231
-16.672718,-43.883775
-16.795992,-43.881146
-16.754973,-43.865796
-16.760984,-43.907559
-16.727190,-43.894255
-16.755469,-43.891933
-16.757113,-43.904470
-16.678309,-43.897493
-16.775185,-43.872873
-16.800663,-43.879138
-16.677607,-43.904130
-16.777001,-43.870134
-16.735894,-43.908443
-16.743217,-43.854094
-16.666150,-43.876384
-16.762438,-43.904407
-16.688324,-43.880996
-16.775904,-43.819516
-16.789995,-43.822307
-16.665973,-43.864461
-16.691056,-43.882558
-16.743931,-43.881533
-16.766953,-43.882329
-16.702517,-43.817111
-16.718235,-43.839465
-16.690281,-43.862673
-16.735912,-43.862658
-16.698801,-43.845395
-16.720808,-43.846757
-16.742672,-43.907723
-16.791233,-43.828671
-16.678495,-43.831228
-16.765235,-43.902217
-16.723548,-43.835929
-16.665082,-43.841554
-16.702786,-43.858100
-16.773297,-43.815146
-16.714230,-43.810729
-16.685674,-43.908527
-16.737550,-43.854251
-16.724174,-43.820868
-16.775393,-43.866020
-16.711902,-43.812838
-16.684054,-43.837639
-16.748151,-43.852505
-16.701075,-43.849468
-16.790774,-43.907457
-16.795456,-43.843540
-16.800123,-43.892327
-16.665110,-43.813634
-16.753612,-43.840383
-16.757423,-43.835256
-16.776944,-43.869753
-16.790591,-43.827193
-16.721111,-43.827733
-16.677866,-43.862606
-16.783885,-43.883283
-16.775982,-43.897882
-16.770216,-43.836984
-16.775128,-43.869492
-16.714070,-43.860145
-16.678576,-43.884775
-16.749143,-43.821628
-16.688806,-43.824996
-16.671247,-43.886960
-16.770233,-43.835079
-16.697552,-43.891086
-16.738280,-43.908919
-16.664466,-43.911356
-16.780195,-43.901166
-16.774233,-43.823935
-16.764194,-43.867947
-16.734354,-43.820177
-16.702586,-43.898884
-16.682369,-43.808324
-16.698532,-43.852066
-16.717498,-43.866762
-16.794930,-43.875136
-16.709304,-43.899705
-16.688928,-43.858767
-16.752589,-43.823525
-16.802032,-43.833519
-16.745568,-43.860255
-16.790535,-43.843658
-16.796994,-43.819535
