@lat,@lon
-21.113676,-42.349889
-21.118265,-42.354260
-21.121395,-42.370490
-21.119535,-42.399292
-21.119802,-42.370015
-21.140537,-42.384173
-21.113070,-42.404512
-21.114232,-42.392392
-21.133369,-42.360030
-21.130438,-42.400650
-21.124889,-42.381822
-21.141816,-42.400210
-21.141571,-42.376591
-21.147186,-42.404791
-21.126946,-42.365123
-21.125625,-42.377677
-21.126797,-42.395188
-21.133849,-42.379883
-21.134583,-42.401812
-21.142059,-42.400212
-21.117668,-42.387446
-21.113729,-42.396499
-21.114052,-42.337614
-21.113463,-42.401098
-21.119749,-42.392731
-21.132203,-42.339399
-21.148207,-42.344327
-21.141421,-42.395837
-21.121750,-42.354673
-21.126403,-42.365224
-21.123424,-42.378580
-21.139285,-42.377152
-21.112851,-42.374331
-21.127054,-42.362736
-21.131522,-42.349605
-21.136814,-42.350217
-21.129463,-42.336227
-21.140358,-42.345320
-21.121033,-42.355312
-21.112890,-42.336116
-21.120171,-42.354954
-21.148637,-42.371026
-21.136783,-42.368065
-21.121033,-42.397548
-21.114503,-42.393466
-21.147089,-42.349583
-21.149302,-42.393824
-21.133566,-42.345756
-21.143118,-42.389716
-21.146120,-42.382430
-21.127468,-42.408160
-21.117457,-42.362447
-21.132678,-42.403979
-21.129004,-42.379512
-21.126142,-42.393806
-21.123142,-42.384909
-21.137126,-42.389583
-21.138355,-42.352320
-21.125193,-42.401501
-21.133764,-42.367040
-21.136766,-42.387599
-21.149636,-42.393087
-21.131660,-42.405258
-21.118786,-42.377049
-21.116963,-42.370948
-21.123970,-42.358690
-21.124321,-42.399876
-21.135146,-42.349829
-21.127060,-42.349947
-21.115640,-42.371318
-21.133329,-42.394882
-21.137292,-42.370395
-21.122164,-42.382931
-21.149263,-42.344655
-21.122596,-42.352311
-21.115792,-42.406690
-21.131902,-42.375738
-21.125328,-42.369386
-21.138558,-42.380560
-21.132963,-42.399269
-21.123032,-42.339425
-21.139434,-42.340164
-21.129015,-42.380206
-21.120737,-42.391675
-21.124037,-42.390959
-21.144050,-42.356351
-21.120833,-42.339975
-21.138986,-42.339535
-21.144721,-42.402126
-21.120803,-42.398644
-21.124432,-42.392151
-21.138206,-42.407478
-21.146053,-42.402117
-21.116195,-42.394735
-21.132774,-42.345951
-21.130635,-42.393771
-21.133715,-42.406341
-21.123702,-42.407430
-21.141533,-42.373207
-21.134264,-42.357788
-21.141015,-42.362684
-21.117875,-42.363552
-21.142644,-42.394130
-21.150410,-42.390495
-21.117048,-42.405146
-21.125800,-42.346427
-21.148464,-42.398970
-21.122601,-42.383635
-21.130706,-42.390906
-21.117557,-42.381682
-21.120768,-42.343560
-21.134565,-42.388114
-21.130461,-42.386332
-21.149551,-42.371820
-21.127134,-42.336170
-21.113959,-42.363220
-21.142911,-42.374995
-21.118956,-42.341606
-21.122799,-42.402872
-21.149178,-42.336506
-21.147016,-42.381248
-21.143372,-42.360865
-21.133351,-42.381287
-21.143688,-42.350480
-21.133370,-42.357320
-21.129069,-42.401895
-21.149880,-42.362063
-21.150438,-42.379644
-21.122198,-42.396154
-21.136961,-42.366106
-21.115956,-42.342493
-21.150224,-42.386085
-21.121311,-42.357947
-21.148964,-42.351045
-21.118011,-42.368691
-21.144406,-42.368949
-21.127502,-42.374452
-21.141136,-42.368782
-21.126773,-42.399904
-21.137306,-42.399192
-21.124305,-42.338781
-21.113282,-42.350038
-21.128544,-42.351456
-21.146001,-42.338229
-21.115715,-42.342234
-21.148004,-42.354001
-21.144559,-42.384284
-21.144429,-42.360456
-21.126587,-42.401056
-21.125761,-42.373344
-21.141384,-42.375294
-21.147796,-42.394703
-21.128670,-42.395035
-21.144254,-42.366654
-21.141336,-42.399803
-21.124267,-42.404984
-21.116365,-42.380799
-21.132254,-42.339694
-21.131263,-42.392018
-21.128269,-42.336904
-21.114228,-42.357112
-21.137625,-42.404319
-21.141396,-42.348313
-21.146606,-42.381600
-21.128131,-42.368211
-21.140553,-42.336839
-21.114730,-42.383977
-21.113253,-42.345133
-21.113881,-42.345251
-21.120444,-42.388662
-21.140871,-42.386250
-21.116783,-42.381968
-21.140522,-42.342447
-21.143099,-42.390026
-21.128663,-42.353690
-21.126058,-42.390821
-21.127363,-42.361087
-21.124082,-42.364891
-21.135858,-42.392916
-21.113887,-42.342003
-21.145122,-42.354194
-21.121345,-42.338151
-21.133747,-42.373351
-21.119436,-42.366098
-21.122467,-42.348620
-21.120194,-42.371192
-21.127916,-42.373136
-21.128524,-42.337206
-21.132092,-42.385065
-21.133505,-42.338473
-21.123490,-42.390962
-21.120310,-42.380358
-21.127630,-42.368820
-21.144743,-42.374468
-21.112954,-42.349201
-21.130115,-42.350881
-21.122744,-42.357694
-21.143935,-42.399132
-21.117398,-42.401969
-21.146443,-42.385025
