@lat,@lon
-17.847195,-40.342803
-17.839747,-40.339477
-17.848822,-40.331404
-17.839898,-40.369391
-17.848125,-40.378134
-17.831676,-40.354998
-17.834922,-40.364836
-17.830214,-40.371057
-17.839055,-40.360765
-17.830291,-40.361062
-17.837567,-40.339276
-17.841644,-40.376603
-17.841758,-40.340486
-17.851747,-40.353036
-17.836365,-40.346959
-17.830189,-40.378711
-17.829548,-40.370562
-17.846053,-40.374025
-17.851702,-40.354416
-17.849745,-40.335550
-17.852223,-40.334293
-17.831644,-40.368897
-17.839100,-40.348095
-17.832472,-40.360577
-17.840758,-40.357453
-17.831209,-40.338967
-17.846041,-40.350827
-17.845673,-40.374221
-17.850917,-40.352949
-17.841550,-40.365879
-17.852899,-40.349017
-17.831711,-40.357238
-17.832109,-40.342098
-17.841188,-40.378402
-17.837643,-40.347356
-17.841780,-40.359526
-17.839212,-40.351293
-17.848945,-40.378171
-17.836965,-40.376470
-17.844647,-40.356928
-17.830009,-40.343483
-17.844762,-40.353722
-17.838994,-40.377119
-17.843648,-40.378630
-17.842949,-40.347795
-17.840566,-40.347290
-17.841347,-40.367629
-17.848129,-40.341639
-17.841510,-40.331371
-17.841321,-40.345930
-17.840207,-40.346831
-17.840868,-40.357846
-17.839924,-40.335366
-17.848054,-40.333246
-17.842409,-40.336847
-17.852166,-40.361850
-17.840830,-40.368894
-17.852910,-40.348438
-17.832302,-40.340113
-17.853935,-40.356106
-17.844028,-40.335426
-17.841252,-40.376639
-17.852679,-40.375527
-17.851334,-40.362918
-17.847579,-40.343903
-17.830718,-40.362830
-17.852729,-40.334259
-17.854114,-40.367856
-17.838035,-40.349174
-17.845281,-40.363677
-17.852709,-40.367188
-17.854922,-40.359180
-17.847146,-40.375072
-17.852752,-40.343536
-17.831786,-40.338956
-17.836915,-40.376171
-17.831659,-40.358215
-17.839538,-40.331872
-17.834334,-40.351837
-17.831931,-40.342167
-17.848190,-40.376292
-17.854619,-40.338139
-17.833716,-40.343670
-17.836783,-40.378495
-17.850671,-40.335806
-17.851419,-40.341190
-17.851542,-40.345167
-17.854217,-40.334316
-17.832241,-40.370678
-17.839480,-40.367267
-17.835198,-40.355572
-17.837821,-40.376102
-17.840738,-40.341903
-17.829556,-40.352556
-17.834214,-40.344848
-17.849052,-40.353945
-17.829275,-40.348665
-17.853615,-40.333776
-17.846189,-40.368709
-17.848600,-40.340386
