@lat,@lon
-21.121357,-46.420311
-21.129427,-46.417282
-21.121531,-46.426545
-21.126517,-46.433405
-21.129975,-46.429987
-21.129563,-46.433017
-21.123561,-46.428758
-21.128997,-46.419104
-21.123598,-46.429799
-21.122743,-46.417293
-21.129821,-46.424970
-21.129867,-46.418848
-21.125201,-46.431567
-21.122473,-46.434531
-21.127006,-46.426176
-21.118823,-46.418793
-21.129966,-46.420878
-21.127967,-46.435662
-21.122423,-46.423779
-21.118146,-46.430325
-21.120590,-46.419625
-21.128530,-46.434770
-21.126994,-46.420289
-21.130682,-46.425236
-21.127930,-46.420021
-21.131073,-46.420904
-21.129204,-46.433620
-21.119477,-46.434786
-21.123504,-46.424602
-21.123989,-46.428513
-21.126972,-46.420429
-21.118787,-46.418479
-21.121173,-46.426124
-21.126859,-46.432468
-21.131198,-46.427930
-21.122263,-46.420643
-21.122801,-46.432560
-21.124544,-46.433493
-21.126921,-46.434038
-21.122198,-46.418870
-21.124941,-46.435057
-21.122378,-46.424214
-21.123958,-46.423561
-21.118512,-46.431243
-21.123133,-46.423871
-21.121313,-46.429345
-21.122023,-46.424894
-21.128182,-46.421188
-21.122000,-46.419231
-21.128757,-46.417401
-21.120452,-46.417202
-21.128203,-46.425137
-21.123654,-46.424468
-21.128831,-46.423832
-21.119352,-46.431867
-21.131398,-46.417350
-21.119303,-46.429538
-21.128966,-46.428298
-21.125920,-46.435407
-21.131922,-46.422935
-21.130287,-46.433356
-21.124629,-46.423096
-21.130034,-46.425741
-21.121611,-46.422409
-21.128052,-46.418853
-21.128686,-46.433011
-21.131135,-46.421226
-21.124589,-46.422157
-21.130595,-46.423311
-21.120145,-46.427474
-21.119360,-46.427613
-21.130132,-46.420066
-21.130640,-46.422037
-21.122281,-46.422928
-21.120225,-46.417784
-21.129080,-46.424007
-21.124149,-46.432582
-21.124169,-46.429506
-21.125059,-46.429255
-21.131152,-46.426996
-21.127309,-46.431250
-21.129931,-46.428023
-21.130515,-46.435031
-21.128611,-46.434785
-21.124459,-46.429732
-21.129833,-46.423486
-21.125843,-46.419966
-21.125150,-46.425136
-21.130299,-46.422765
-21.128921,-46.418307
-21.129003,-46.418750
-21.119268,-46.426666
-21.128516,-46.419771
-21.129258,-46.429875
-21.122993,-46.417577
-21.128632,-46.420840
-21.128307,-46.427885
-21.119904,-46.429651
-21.128867,-46.425836
-21.122674,-46.428857
