@lat,@lon
-17.226804,-46.896053
-17.222395,-46.893698
-17.236054,-46.870350
-17.213654,-46.862904
-17.220010,-46.888485
-17.208929,-46.886303
-17.240526,-46.889246
-17.236155,-46.898628
-17.241617,-46.881468
-17.227064,-46.869061
-17.217175,-46.898593
-17.234492,-46.896572
-17.212551,-46.903669
-17.211958,-46.887601
-17.236364,-46.894261
-17.216671,-46.867736
-17.212027,-46.860103
-17.208767,-46.887726
-17.208851,-46.875765
-17.233504,-46.884299
-17.224962,-46.857195
-17.228614,-46.880094
-17.211403,-46.876305
-17.226255,-46.890559
-17.237791,-46.864809
-17.213996,-46.879821
-17.220598,-46.892282
-17.218904,-46.860731
-17.216465,-46.868703
-17.241218,-46.852986
-17.221174,-46.903783
-17.238741,-46.899249
-17.233964,-46.891945
-17.212840,-46.852118
-17.212608,-46.877300
-17.223644,-46.877137
-17.219406,-46.881300
-17.216270,-46.862295
-17.209147,-46.867104
-17.212881,-46.880900
-17.230613,-46.901406
-17.229867,-46.887095
-17.241661,-46.901499
-17.225646,-46.858800
-17.223725,-46.884316
-17.242180,-46.855958
-17.227671,-46.903101
-17.216266,-46.859927
-17.208725,-46.899940
-17.210373,-46.863176
-17.241949,-46.876356
-17.209167,-46.858106
-17.206669,-46.890059
-17.235367,-46.892376
-17.209095,-46.888353
-17.226081,-46.903460
-17.238973,-46.876264
-17.219291,-46.880581
-17.223080,-46.862126
-17.217640,-46.864010
-17.209725,-46.902123
-17.236500,-46.885068
-17.239802,-46.892768
-17.239240,-46.893879
-17.212595,-46.877169
-17.213031,-46.876700
-17.210401,-46.865668
-17.220657,-46.885920
-17.216732,-46.870143
-17.239858,-46.856242
-17.238661,-46.871367
-17.222610,-46.897185
-17.236605,-46.855116
-17.230419,-46.855025
-17.219980,-46.869376
-17.213043,-46.901903
-17.212885,-46.870928
-17.239067,-46.883503
-17.220939,-46.899115
-17.237307,-46.898756
-17.215284,-46.870923
-17.222853,-46.878051
-17.223617,-46.888803
-17.221361,-46.897886
-17.227927,-46.902432
-17.240885,-46.867176
-17.208589,-46.861023
-17.231811,-46.892987
-17.211738,-46.878382
-17.238761,-46.867238
-17.231446,-46.880502
-17.228624,-46.897691
-17.209967,-46.890054
-17.207526,-46.905076
-17.225394,-46.874359
-17.225805,-46.881675
-17.237911,-46.884053
-17.236589,-46.857222
-17.229965,-46.860323
-17.231278,-46.872786
-17.230633,-46.905303
-17.210981,-46.867617
-17.233550,-46.900854
-17.212204,-46.894420
-17.232831,-46.861876
-17.218044,-46.857201
-17.231888,-46.868511
-17.207938,-46.853079
-17.234815,-46.857790
-17.206658,-46.896242
-17.220568,-46.887958
-17.229485,-46.857957
-17.217521,-46.856828
-17.240889,-46.857940
-17.211285,-46.876709
-17.223697,-46.854203
-17.234521,-46.888040
-17.235276,-46.887953
-17.238248,-46.864816
-17.227512,-46.859378
-17.218594,-46.856125
-17.224481,-46.863543
-17.236973,-46.885886
-17.236583,-46.897293
-17.210808,-46.897121
-17.236334,-46.872882
-17.228343,-46.895180
-17.212710,-46.856636
-17.222059,-46.891726
-17.211178,-46.888519
-17.237962,-46.884122
-17.233287,-46.870481
-17.215017,-46.886362
-17.222241,-46.876658
-17.217080,-46.855295
-17.214090,-46.892732
-17.225423,-46.863379
-17.207695,-46.898400
-17.210334,-46.888939
-17.216935,-46.898781
-17.238809,-46.898576
-17.234579,-46.891902
-17.219761,-46.854429
-17.233010,-46.863620
-17.210098,-46.856788
-17.212581,-46.856814
-17.219840,-46.854444
-17.223417,-46.867765
-17.207082,-46.891310
-17.222950,-46.867657
-17.215250,-46.881743
-17.216704,-46.894570
-17.237619,-46.861972
-17.239241,-46.899426
-17.215221,-46.856092
-17.207380,-46.859232
-17.217560,-46.895974
-17.217098,-46.902948
-17.215925,-46.855379
-17.219091,-46.883620
-17.212810,-46.869979
-17.212707,-46.885246
-17.226914,-46.851537
-17.217853,-46.875762
-17.220384,-46.898417
-17.239515,-46.865411
-17.211139,-46.866456
-17.209375,-46.900214
-17.227646,-46.895921
-17.232296,-46.899748
-17.209150,-46.876726
-17.239808,-46.886180
-17.240320,-46.863619
-17.210082,-46.853441
-17.217796,-46.860459
-17.235756,-46.897777
-17.240647,-46.901509
-17.227537,-46.885739
-17.209840,-46.885154
-17.229281,-46.862618
-17.220265,-46.865595
-17.233640,-46.895487
-17.239144,-46.873190
-17.230605,-46.879584
-17.228789,-46.905397
-17.228131,-46.894348
-17.215571,-46.905139
-17.224301,-46.898694
-17.212077,-46.899469
-17.211464,-46.889218
-17.237528,-46.886766
-17.236261,-46.859783
-17.214933,-46.889210
-17.232443,-46.880406
-17.237363,-46.892475
-17.215020,-46.896872
-17.209514,-46.875417
-17.215858,-46.879048
-17.240602,-46.877237
-17.225136,-46.874647
