@lat,@lon
-18.586323,-46.539968
-18.857101,-46.491215
-18.808330,-46.367444
-18.790803,-46.786209
-18.841674,-46.657468
-18.817926,-46.862615
-18.718000,-46.435142
-18.419488,-46.669285
-18.740388,-46.065542
-18.659591,-46.255377
-18.564066,-46.367469
-18.730707,-46.511146
-18.452924,-46.416588
-18.638672,-46.717738
-18.743511,-46.726728
-18.557290,-46.750225
-18.800898,-46.227347
-18.417447,-46.698126
-18.788953,-46.802546
-18.469169,-46.051178
-18.472125,-46.830159
-18.709574,-46.832435
-18.572908,-46.487050
-18.685036,-46.028199
-18.901866,-46.594457
-18.532768,-46.066421
-18.865871,-46.592640
-18.459548,-46.418856
-18.562466,-46.110177
-18.678793,-46.689235
-18.481181,-46.747906
-18.519968,-46.154263
-18.484976,-46.376176
-18.475966,-46.537019
-18.813328,-46.379733
-18.878435,-46.235125
-18.799735,-46.494632
-18.543376,-46.449476
-18.829464,-46.026884
-18.592687,-46.846462
-18.909832,-46.344837
-18.872581,-46.792811
-18.509753,-46.756892
-18.526381,-46.326723
-18.488328,-46.401782
-18.677648,-46.357996
-18.739313,-46.159623
-18.857892,-45.923404
-18.737837,-46.575340
-18.520855,-46.092391
-18.802066,-46.678771
-18.522925,-46.467801
-18.549380,-46.075203
-18.809387,-46.356424
-18.640975,-46.329829
-18.643914,-46.490041
-18.470056,-46.595223
-18.794944,-46.560815
-18.734413,-45.956826
-18.508486,-46.190277
-18.731750,-46.534295
-18.439120,-45.899761
-18.747901,-46.502377
-18.806011,-46.367748
-18.832727,-46.726181
-18.719519,-46.440985
-18.905114,-46.423933
-18.559995,-46.726651
-18.559799,-46.533850
-18.520936,-46.574626
-18.515535,-46.429161
-18.776837,-46.362742
-18.412025,-46.065121
-18.580104,-46.465171
-18.654627,-46.722550
-18.808346,-46.522916
-18.711586,-46.426227
-18.682722,-46.231388
-18.768125,-46.255697
-18.436760,-46.199241
-18.809787,-46.597305
-18.792253,-46.388537
-18.475413,-46.020923
-18.904151,-46.750433
-18.669728,-46.293576
-18.722854,-45.941490
-18.499516,-46.299559
-18.911974,-46.444354
-18.866169,-46.446840
-18.815409,-46.196289
-18.451408,-45.982888
-18.551935,-46.317545
-18.486841,-46.037590
-18.717202,-46.179781
-18.833143,-46.415843
-18.626257,-46.831139
-18.862427,-46.239738
-18.646873,-46.711397
-18.592354,-46.452109
-18.595672,-46.469262
-18.794457,-46.612178
-18.595321,-46.473732
-18.500965,-46.262948
-18.469875,-46.053007
-18.547297,-46.568824
-18.823700,-45.999170
-18.764042,-46.211966
-18.786103,-46.769490
-18.513922,-46.036090
-18.922717,-46.062250
-18.698717,-46.649457
-18.567058,-46.560967
-18.680834,-46.459792
-18.761706,-46.177087
-18.701457,-46.544739
-18.618613,-46.812002
-18.846259,-46.671666
-18.617678,-46.802006
-18.850606,-46.633274
-18.683606,-46.347464
-18.690160,-46.779490
-18.671997,-46.292445
-18.888453,-46.362610
-18.556732,-46.264320
-18.882785,-46.092331
-18.614342,-46.412006
-18.667949,-46.551517
-18.440591,-45.938831
-18.782038,-46.407642
-18.905298,-46.114189
-18.910852,-46.840921
-18.608448,-45.904841
-18.605411,-46.461646
-18.480304,-46.560627
-18.912222,-46.487807
-18.443520,-46.645975
-18.729303,-46.530296
-18.626329,-46.536592
-18.588698,-46.640802
-18.783810,-45.906717
-18.522539,-46.843177
-18.907251,-46.635465
-18.651346,-46.248718
-18.627410,-46.849249
-18.563339,-46.275910
-18.869587,-46.577504
-18.800367,-46.168646
-18.595121,-46.733390
-18.603227,-45.889030
-18.867464,-46.020789
-18.761098,-45.892024
-18.592443,-46.207283
-18.809491,-46.630344
-18.867974,-46.684682
-18.696950,-46.440795
-18.630928,-46.078161
-18.614792,-46.841349
-18.483996,-46.280978
-18.784966,-45.895060
-18.863165,-46.843700
-18.692701,-46.693851
-18.460292,-45.939821
-18.883803,-46.757397
-18.848192,-46.351799
-18.605642,-46.637671
-18.665963,-46.247587
-18.889252,-45.912923
-18.447781,-46.766113
-18.821009,-46.352320
-18.776506,-46.394495
-18.418567,-46.858340
-18.481080,-46.497289
-18.587808,-46.604310
-18.736287,-46.379260
-18.767475,-45.956032
-18.606845,-46.240451
-18.647372,-45.959112
-18.450369,-46.240095
-18.907699,-45.939861
-18.852145,-46.816215
-18.517227,-46.083334
-18.475143,-46.274987
-18.824328,-46.377438
-18.839295,-45.983312
-18.779678,-46.060864
-18.497803,-45.996746
-18.566987,-46.396992
-18.689205,-46.858529
-18.642536,-46.749032
-18.827724,-46.005567
-18.845994,-46.248252
-18.659974,-46.081306
-18.849816,-46.550000
-18.598105,-46.162788
-18.594108,-46.656395
-18.697174,-46.429296
-18.790545,-46.327794
-18.414891,-45.964798
-18.770938,-46.341798
-18.882320,-46.787891
