@lat,@lon
-15.749069,-43.039728
-15.751677,-43.026055
-15.733290,-43.018921
-15.747644,-43.031335
-15.739016,-43.029650
-15.745980,-43.042909
-15.756172,-43.045427
-15.739435,-43.043535
-15.729902,-43.022855
-15.734069,-43.044291
-15.758945,-43.022739
-15.729689,-43.019764
-15.735567,-43.029994
-15.747890,-43.043776
-15.741883,-43.017438
-15.743610,-43.040755
-15.749514,-43.043681
-15.730085,-43.040955
-15.758434,-43.031168
-15.735151,-43.028904
-15.753123,-43.044631
-15.734231,-43.026747
-15.747083,-43.029216
-15.746170,-43.023161
-15.757498,-43.026002
-15.733241,-43.027577
-15.745947,-43.024851
-15.745302,-43.037967
-15.736125,-43.041735
-15.758286,-43.026685
-15.732118,-43.045700
-15.743830,-43.039534
-15.741518,-43.037270
-15.750125,-43.018537
-15.741986,-43.043657
-15.743063,-43.039627
-15.738608,-43.026815
-15.729709,-43.035242
-15.744182,-43.018251
-15.754294,-43.034649
-15.734758,-43.028143
-15.747917,-43.018468
-15.730551,-43.041166
-15.734067,-43.036335
-15.740829,-43.033649
-15.736496,-43.017942
-15.743683,-43.031809
-15.735175,-43.044547
-15.755584,-43.043278
-15.748136,-43.041938
-15.734223,-43.027961
-15.753281,-43.037152
-15.756067,-43.038836
-15.742891,-43.023549
-15.729539,-43.016983
-15.752191,-43.042654
-15.735250,-43.034623
-15.741535,-43.036292
-15.756765,-43.026955
-15.732418,-43.040402
-15.739195,-43.044155
-15.733151,-43.034688
-15.731896,-43.043628
-15.753066,-43.040034
-15.743363,-43.018287
-15.748372,-43.033551
-15.747235,-43.038584
-15.745146,-43.038436
-15.743205,-43.016829
-15.744717,-43.022632
-15.734006,-43.016868
-15.755431,-43.026753
-15.742660,-43.038358
-15.743713,-43.032634
-15.739378,-43.043917
-15.750357,-43.018390
-15.755422,-43.035009
-15.748378,-43.025849
-15.751027,-43.039189
-15.742080,-43.018034
-15.733089,-43.019360
-15.748326,-43.022782
-15.739556,-43.037294
-15.742209,-43.030509
-15.736303,-43.044162
-15.746673,-43.029020
-15.754136,-43.023798
-15.748842,-43.039249
-15.747213,-43.022443
-15.730000,-43.022719
-15.753285,-43.037639
-15.735293,-43.039680
-15.731819,-43.034003
-15.742238,-43.041599
-15.748824,-43.016912
-15.738506,-43.044526
-15.751423,-43.020795
-15.751529,-43.028989
-15.745603,-43.036204
-15.758132,-43.024221
