@lat,@lon
-22.213688,-45.898082
-22.238150,-45.913887
-22.281096,-45.966723
-22.240922,-45.915308
-22.203520,-45.970648
-22.200269,-45.901232
-22.274584,-45.947382
-22.265196,-45.934980
-22.223493,-45.881171
-22.274397,-45.910733
-22.262737,-45.938181
-22.245276,-45.934832
-22.243945,-45.887290
-22.252496,-45.965048
-22.275558,-45.925376
-22.271008,-45.936387
-22.201510,-45.900926
-22.203473,-45.971391
-22.222978,-45.948118
-22.243979,-45.885726
-22.228079,-45.937370
-22.273030,-45.880997
-22.249955,-45.887342
-22.259997,-45.958125
-22.201458,-45.936385
-22.210046,-45.899940
-22.278660,-45.899103
-22.209544,-45.904370
-22.230468,-45.952586
-22.222089,-45.884857
-22.258401,-45.915352
-22.267667,-45.975246
-22.265904,-45.887910
-22.264314,-45.963823
-22.235706,-45.941666
-22.280880,-45.952178
-22.261459,-45.969944
-22.225900,-45.936699
-22.259275,-45.943196
-22.279176,-45.941499
-22.217037,-45.945146
-22.225437,-45.972245
-22.272837,-45.969483
-22.206845,-45.904490
-22.263645,-45.929321
-22.240951,-45.942017
-22.242258,-45.960087
-22.235764,-45.921359
-22.229183,-45.938623
-22.218085,-45.944697
-22.201337,-45.879048
-22.225535,-45.913936
-22.201499,-45.886835
-22.255468,-45.922701
-22.256264,-45.881288
-22.224175,-45.959466
-22.252424,-45.885924
-22.205646,-45.902347
-22.223612,-45.966239
-22.275433,-45.886492
-22.272167,-45.890534
-22.282275,-45.890852
-22.212785,-45.918877
-22.206268,-45.918365
-22.200931,-45.906426
-22.257794,-45.898739
-22.213805,-45.944402
-22.265576,-45.918780
-22.241209,-45.881169
-22.213711,-45.880592
-22.265479,-45.916027
-22.231579,-45.879539
-22.269062,-45.921594
-22.208142,-45.913953
-22.247157,-45.897187
-22.254230,-45.974880
-22.221346,-45.954959
-22.216135,-45.902669
-22.252939,-45.975199
-22.204065,-45.893064
-22.228369,-45.935608
-22.242166,-45.972461
-22.260979,-45.949331
-22.214572,-45.955902
-22.228464,-45.913477
-22.234272,-45.918655
-22.269230,-45.963921
-22.214125,-45.888678
-22.285682,-45.917622
-22.267561,-45.970778
-22.232631,-45.948631
-22.241580,-45.958624
-22.271363,-45.888944
-22.222488,-45.944390
-22.241115,-45.889796
-22.220045,-45.945220
-22.205468,-45.932900
-22.230028,-45.902990
-22.247850,-45.900134
-22.208495,-45.922018
-22.242192,-45.953215
-22.249149,-45.953422
-22.279423,-45.960599
-22.235450,-45.902741
-22.262860,-45.946166
-22.257306,-45.906383
-22.274334,-45.955100
-22.259593,-45.912585
-22.241398,-45.951229
-22.282823,-45.936290
-22.208465,-45.943958
-22.286170,-45.927494
-22.234586,-45.971780
-22.263194,-45.961348
-22.203749,-45.944102
-22.232885,-45.961752
-22.246369,-45.934920
-22.252696,-45.967964
-22.222359,-45.936937
-22.272941,-45.934904
-22.209866,-45.973115
-22.202177,-45.938927
-22.221382,-45.915514
-22.222316,-45.913285
-22.219173,-45.930542
-22.223535,-45.928570
-22.255459,-45.905740
-22.268363,-45.888968
-22.268357,-45.963617
-22.199741,-45.934902
-22.236230,-45.972254
-22.279719,-45.915150
-22.204961,-45.956906
-22.280527,-45.902860
-22.248882,-45.916261
-22.251328,-45.967220
-22.259105,-45.900528
-22.271230,-45.941927
-22.267492,-45.906486
-22.281341,-45.935944
-22.241067,-45.891241
-22.270770,-45.924181
-22.236604,-45.891044
-22.202631,-45.949889
-22.275039,-45.973601
-22.229277,-45.964949
-22.272580,-45.962510
-22.285958,-45.943240
-22.224245,-45.942892
-22.265075,-45.962543
-22.273069,-45.963389
-22.282321,-45.904274
-22.267249,-45.945823
-22.244862,-45.907675
-22.201292,-45.932046
-22.277447,-45.963456
-22.278450,-45.911203
-22.204775,-45.890175
-22.218203,-45.958498
-22.227129,-45.921012
-22.235295,-45.956266
-22.262805,-45.941803
-22.231764,-45.901588
-22.233119,-45.949270
-22.254990,-45.956464
-22.220030,-45.941034
-22.254216,-45.967011
-22.217468,-45.904478
-22.217941,-45.952653
-22.260326,-45.892042
-22.201281,-45.918466
-22.215417,-45.917399
-22.230873,-45.924198
-22.217728,-45.961530
-22.243993,-45.914470
-22.285273,-45.879070
-22.209852,-45.900532
-22.260753,-45.900522
-22.283893,-45.928090
-22.260170,-45.929253
-22.239952,-45.895218
-22.224752,-45.941371
-22.198607,-45.940588
-22.278154,-45.942655
-22.239839,-45.967662
-22.219889,-45.908461
-22.269826,-45.931815
-22.214552,-45.899246
-22.198745,-45.934428
-22.231526,-45.894521
-22.214987,-45.946238
-22.207693,-45.904590
-22.255129,-45.935882
-22.213708,-45.887909
-22.262629,-45.883640
-22.221598,-45.936204
-22.242567,-45.898808
-22.253704,-45.968673
-22.282363,-45.904480
-22.245732,-45.927939
