@lat,@lon
-20.226624,-42.658171
-20.223748,-42.655652
-20.223562,-42.653982
-20.223215,-42.659589
-20.228368,-42.647702
-20.225981,-42.649623
-20.223664,-42.660260
-20.227621,-42.651934
-20.227788,-42.658704
-20.225178,-42.653547
-20.227379,-42.660344
-20.225867,-42.646295
-20.228141,-42.660225
-20.223252,-42.646375
-20.226411,-42.649580
-20.227772,-42.659757
-20.227767,-42.653334
-20.224762,-42.660202
-20.227228,-42.658800
-20.226503,-42.651104
-20.226811,-42.656220
-20.227416,-42.649344
-20.227873,-42.646861
-20.223532,-42.648531
-20.225777,-42.650796
-20.223646,-42.647910
-20.226760,-42.659604
-20.225064,-42.647767
-20.225250,-42.652132
-20.226658,-42.656413
-20.223930,-42.657504
-20.226548,-42.658064
-20.226966,-42.651646
-20.223370,-42.646340
-20.228081,-42.659643
-20.225547,-42.659861
-20.223484,-42.652887
-20.228322,-42.653897
-20.224904,-42.653598
-20.224531,-42.650447
-20.223724,-42.661115
-20.224779,-42.652906
-20.226037,-42.655854
-20.227072,-42.660966
-20.227525,-42.652767
-20.224418,-42.649037
-20.226484,-42.659121
-20.227941,-42.647347
-20.223498,-42.646759
-20.226657,-42.655803
-20.223235,-42.650690
-20.224949,-42.659064
-20.223683,-42.653500
-20.227758,-42.650504
-20.223437,-42.649577
-20.223386,-42.657587
-20.225610,-42.652043
-20.228026,-42.650798
-20.225898,-42.651253
-20.223251,-42.660736
-20.224457,-42.656526
-20.225970,-42.649432
-20.228299,-42.650849
-20.224689,-42.657831
-20.223176,-42.646428
-20.224298,-42.652827
-20.224221,-42.656740
-20.225782,-42.660451
-20.225238,-42.651583
-20.228354,-42.653901
-20.227458,-42.645808
-20.224294,-42.652245
-20.228179,-42.652178
-20.226197,-42.648827
-20.223519,-42.661250
-20.226847,-42.652916
-20.225312,-42.649804
-20.227742,-42.646348
-20.227802,-42.652009
-20.227212,-42.652064
-20.224478,-42.662304
-20.226577,-42.659952
-20.223639,-42.649627
-20.225716,-42.646277
-20.225076,-42.650140
-20.226838,-42.657227
-20.227687,-42.645598
-20.227732,-42.650363
-20.224722,-42.645478
-20.224479,-42.655654
-20.226537,-42.647285
-20.226330,-42.652791
-20.227807,-42.646016
-20.225520,-42.650314
-20.228229,-42.653350
-20.228190,-42.653828
-20.227795,-42.656882
-20.225546,-42.655754
-20.226005,-42.645905
-20.224080,-42.660661
