@lat,@lon
-19.740618,-44.205570
-19.904609,-44.098791
-19.588823,-44.115841
-19.971393,-43.930423
-19.752704,-43.931939
-19.773481,-44.078540
-19.814097,-44.036140
-19.663234,-44.166686
-19.869167,-43.899158
-19.847411,-44.112611
-19.984673,-43.979190
-19.938158,-43.905709
-19.814701,-44.165894
-20.033088,-43.922992
-19.692903,-44.135626
-19.665376,-43.890657
-19.584736,-44.130255
-19.825724,-44.185447
-19.772878,-44.005647
-19.795047,-44.123540
-19.936640,-44.026560
-19.630300,-44.154017
-19.752846,-44.099717
-19.608785,-44.059033
-19.825266,-44.131163
-20.003021,-43.974151
-19.752127,-44.136103
-19.744145,-43.913605
-19.598533,-44.065201
-19.747929,-44.089263
-19.881448,-43.947873
-19.632121,-43.934919
-19.746894,-44.184759
-19.912171,-43.898983
-19.609698,-43.981020
-19.956858,-43.916026
-19.965850,-44.065495
-19.688662,-44.010748
-19.816477,-44.144447
-19.763835,-44.199719
-19.777971,-44.067591
-19.902814,-44.121030
-19.879893,-43.983663
-19.878110,-43.941464
-19.821774,-44.193414
-19.993835,-44.073159
-19.610670,-43.930811
-19.995228,-44.145728
-19.685937,-44.060885
-19.950499,-44.170098
-19.789411,-44.203464
-19.855202,-44.018670
-19.941269,-43.887714
-19.712051,-44.048325
-19.786166,-44.104046
-19.992886,-43.909067
-19.662838,-43.949143
-20.025036,-43.901619
-19.880991,-44.146138
-19.735399,-43.965122
-19.946852,-43.954855
-19.865381,-44.107521
-19.628032,-43.921566
-20.013385,-44.043841
-19.794238,-44.156778
-19.863083,-44.058499
-19.847230,-43.942868
-19.888337,-43.954422
-19.693690,-44.010561
-19.636903,-43.968245
-19.593161,-44.102204
-19.857276,-44.192595
-19.886342,-43.916858
-19.866472,-44.053552
-19.630383,-43.994321
-19.760737,-44.160187
-19.901581,-44.069238
-20.007337,-44.125600
-19.977990,-43.940559
-19.934334,-44.111701
-19.742746,-44.027526
-19.963337,-44.209677
-19.680886,-44.062933
-19.596384,-43.961421
-19.963116,-44.062159
-19.819357,-44.086463
-19.829469,-44.031101
-19.905593,-44.174355
-19.806803,-44.084122
-19.947230,-44.156491
-19.852436,-43.931386
-19.809490,-44.008783
-19.704238,-43.967422
-19.781341,-44.103754
-19.973955,-44.071059
-19.626290,-44.217331
-19.699810,-44.021220
-19.939113,-44.073849
-19.781931,-44.196031
-20.022189,-43.909983
-19.631447,-43.894276
-19.725086,-44.209116
-19.856923,-44.220513
-19.935795,-44.205917
-19.583296,-44.069368
-19.676453,-43.951026
-19.857026,-44.040583
-19.852893,-43.890673
-19.860499,-44.094097
-19.601140,-43.958862
-19.935864,-44.048452
-19.672582,-44.056773
-19.944461,-43.909413
-20.013229,-44.151959
-19.623739,-43.924000
-19.767139,-44.034873
-19.957036,-44.025966
-19.803439,-44.007082
-19.832614,-44.021739
-19.773802,-43.990516
-19.769358,-44.221145
-19.635872,-43.937867
-19.785745,-44.088058
-19.828671,-44.162279
-19.892495,-44.153456
-19.786640,-44.048283
-19.785666,-44.063613
-19.733902,-44.215730
-19.769713,-44.038796
-19.658659,-44.008129
-19.604348,-43.980415
-19.690771,-44.220480
-19.711117,-43.980413
-19.870172,-44.039160
-19.618079,-43.908112
-19.652890,-44.077306
-19.923899,-44.191467
-19.760508,-44.046044
-19.889725,-44.016359
-19.651652,-43.932300
-19.964492,-44.198720
-19.722136,-43.950391
-19.948476,-44.007244
-19.941840,-44.103496
-20.010493,-43.997211
-19.683308,-44.137384
-19.688044,-44.201444
-19.612135,-44.063827
-19.970964,-44.176196
-19.871988,-44.140503
-19.629954,-44.219123
-19.590717,-43.976319
-19.824917,-44.080062
-19.875034,-44.041240
-19.762098,-44.092102
-19.876070,-44.086325
-19.645068,-43.982417
-19.735472,-44.154257
-20.012981,-44.193789
-19.940125,-44.096768
-19.725246,-44.114822
-19.781579,-44.150106
-19.611281,-44.015675
-19.595991,-44.015434
-19.740585,-44.034901
-19.730706,-44.181208
-19.598082,-44.106810
-19.910157,-44.086882
-19.630699,-44.054716
-19.809320,-44.187220
-19.638448,-43.960523
-19.861921,-43.934331
-19.729529,-43.891492
-19.753573,-43.927343
-19.630143,-44.093715
-20.013597,-43.908034
-19.599853,-44.118416
-19.776406,-44.116391
-19.913252,-43.995826
-19.879750,-44.134845
-19.879779,-43.979366
-19.940012,-43.971639
-19.699771,-43.945740
-19.802195,-44.192334
-19.605851,-43.980556
-19.796023,-43.996962
-19.834710,-43.983769
-19.669992,-44.101403
-19.798990,-44.160136
-19.982142,-43.948198
-19.975634,-44.165538
-19.604398,-44.202066
-19.763563,-44.077697
-19.794856,-44.009244
-19.981423,-44.207818
-19.680552,-44.153116
-19.980635,-44.074838
-19.678435,-44.028923
-19.733295,-43.930009
-20.026369,-43.964017
