@lat,@lon
-16.191470,-42.314229
-16.145553,-42.309986
-16.167473,-42.288539
-16.156531,-42.285777
-16.175789,-42.287501
-16.147924,-42.306090
-16.154510,-42.307143
-16.138440,-42.297693
-16.162409,-42.278341
-16.185491,-42.275039
-16.182739,-42.289021
-16.175011,-42.294511
-16.164570,-42.288851
-16.158985,-42.299710
-16.191086,-42.314073
-16.168820,-42.284267
-16.152180,-42.275649
-16.179773,-42.284001
-16.162968,-42.314727
-16.190538,-42.298228
-16.161804,-42.273383
-16.144862,-42.278979
-16.139253,-42.275058
-16.158155,-42.305912
-16.180582,-42.283364
-16.173615,-42.294357
-16.139317,-42.285342
-16.169274,-42.311376
-16.137364,-42.291533
-16.184365,-42.276812
-16.151141,-42.291185
-16.153677,-42.291808
-16.150612,-42.297509
-16.180938,-42.287653
-16.165277,-42.298063
-16.165266,-42.275408
-16.132343,-42.284002
-16.165660,-42.291590
-16.146506,-42.277961
-16.133446,-42.275960
-16.163959,-42.288067
-16.174012,-42.306779
-16.189995,-42.277219
-16.191076,-42.308973
-16.136639,-42.287777
-16.142507,-42.282610
-16.144552,-42.300733
-16.160215,-42.305194
-16.191610,-42.293856
-16.194243,-42.280549
-16.180287,-42.279689
-16.180433,-42.311884
-16.180364,-42.307776
-16.165189,-42.295223
-16.191316,-42.304368
-16.190940,-42.293699
-16.162240,-42.300488
-16.138819,-42.283768
-16.186395,-42.306032
-16.193321,-42.281504
-16.193066,-42.294050
-16.141710,-42.314329
-16.168773,-42.294573
-16.149478,-42.277000
-16.153617,-42.289537
-16.140303,-42.286188
-16.178012,-42.297240
-16.168127,-42.274567
-16.138012,-42.275825
-16.139938,-42.286050
-16.159753,-42.287152
-16.192737,-42.275113
-16.139323,-42.288338
-16.141205,-42.289182
-16.160319,-42.277676
-16.184409,-42.274800
-16.154302,-42.280502
-16.193386,-42.299982
-16.181158,-42.276182
-16.183633,-42.304342
-16.188235,-42.312488
-16.137495,-42.281089
-16.160670,-42.281108
-16.193921,-42.284356
-16.146083,-42.280224
-16.134214,-42.300332
-16.191682,-42.289616
-16.178442,-42.281535
-16.165771,-42.312004
-16.163103,-42.313531
-16.180830,-42.294399
-16.190760,-42.289660
-16.164113,-42.280806
-16.170597,-42.308582
-16.155320,-42.297904
-16.187888,-42.310937
-16.140065,-42.286109
-16.170903,-42.293576
-16.150217,-42.282145
-16.162613,-42.273014
