@lat,@lon
-17.880250,-41.485230
-17.853487,-41.520598
-17.861969,-41.486766
-17.855418,-41.486313
-17.901261,-41.520108
-17.901241,-41.526215
-17.833612,-41.520230
-17.858457,-41.482114
-17.898597,-41.483070
-17.886926,-41.515879
-17.861793,-41.479600
-17.886056,-41.516315
-17.854150,-41.478332
-17.873086,-41.483445
-17.855500,-41.507630
-17.887693,-41.493429
-17.869278,-41.520651
-17.842190,-41.520985
-17.899562,-41.529709
-17.887528,-41.525400
-17.845228,-41.520728
-17.867813,-41.497685
-17.859883,-41.495254
-17.894916,-41.497193
-17.852745,-41.511718
-17.885961,-41.503658
-17.868505,-41.491830
-17.884945,-41.514218
-17.856903,-41.502378
-17.838431,-41.484882
-17.840902,-41.498936
-17.865202,-41.494632
-17.895462,-41.513447
-17.837398,-41.503065
-17.841287,-41.524377
-17.839447,-41.486748
-17.865551,-41.514639
-17.839351,-41.513332
-17.866061,-41.486727
-17.896740,-41.507014
-17.902282,-41.496016
-17.898757,-41.498998
-17.861816,-41.480802
-17.866531,-41.491110
-17.892963,-41.485437
-17.846586,-41.497060
-17.850242,-41.483441
-17.895752,-41.528967
-17.853793,-41.513418
-17.888458,-41.479278
-17.843246,-41.511643
-17.873058,-41.478129
-17.871764,-41.500718
-17.899468,-41.507738
-17.856111,-41.494794
-17.888144,-41.517448
-17.866286,-41.510109
-17.849184,-41.529048
-17.897791,-41.509616
-17.844853,-41.498140
-17.860692,-41.523065
-17.847390,-41.522961
-17.876747,-41.500981
-17.861119,-41.486396
-17.863322,-41.491362
-17.876258,-41.526565
-17.870247,-41.520559
-17.856033,-41.497465
-17.834340,-41.511965
-17.875834,-41.496880
-17.888341,-41.495213
-17.875838,-41.526662
-17.853781,-41.509659
-17.895077,-41.529719
-17.874360,-41.503199
-17.841634,-41.484475
-17.873680,-41.515997
-17.831044,-41.521279
-17.848426,-41.503282
-17.840746,-41.504632
-17.889790,-41.490075
-17.887088,-41.492137
-17.858915,-41.510096
-17.880539,-41.480554
-17.841658,-41.489543
-17.885616,-41.507457
-17.849489,-41.526271
-17.866728,-41.478854
-17.871357,-41.522857
-17.857395,-41.502233
-17.839240,-41.524667
-17.866917,-41.509122
-17.833667,-41.513217
-17.846627,-41.526533
-17.861048,-41.515083
-17.885756,-41.502785
-17.856365,-41.499038
-17.869006,-41.478604
-17.846846,-41.502737
-17.843721,-41.514380
-17.890693,-41.493570
-17.838897,-41.509733
-17.863724,-41.509342
-17.873357,-41.515608
-17.854438,-41.502417
-17.863923,-41.481243
-17.833218,-41.478680
-17.900032,-41.513133
-17.865370,-41.478056
-17.850043,-41.528810
-17.843146,-41.479925
-17.870619,-41.492691
-17.901969,-41.498101
-17.885284,-41.494535
-17.871611,-41.499891
-17.840375,-41.508325
-17.847392,-41.479725
-17.864047,-41.529353
-17.835853,-41.523715
-17.901690,-41.501824
-17.898852,-41.515639
-17.841589,-41.489445
-17.878717,-41.484156
-17.866372,-41.485498
-17.888454,-41.504809
-17.895365,-41.499736
-17.846839,-41.526665
-17.899912,-41.517470
-17.889183,-41.518146
-17.834669,-41.506355
-17.855030,-41.500152
-17.888541,-41.492204
-17.834539,-41.478667
-17.851383,-41.505861
-17.851295,-41.520067
-17.879844,-41.492745
-17.859624,-41.488857
-17.840798,-41.493691
-17.840020,-41.528719
-17.866132,-41.492953
-17.843401,-41.511987
-17.882288,-41.524240
-17.888782,-41.479694
-17.856007,-41.479126
-17.872909,-41.498608
-17.874035,-41.529510
-17.872982,-41.523304
-17.859268,-41.521885
-17.835388,-41.518495
-17.889441,-41.520136
-17.879560,-41.510558
-17.841722,-41.522155
-17.850409,-41.516290
-17.855603,-41.507493
-17.831726,-41.512453
-17.859843,-41.529423
-17.831093,-41.512732
-17.857954,-41.510360
-17.864003,-41.485221
-17.895277,-41.521857
-17.890101,-41.485678
-17.891756,-41.511789
-17.860905,-41.508627
-17.838000,-41.487743
-17.859171,-41.527658
-17.848003,-41.530265
-17.897008,-41.485007
-17.887639,-41.529564
-17.867507,-41.527030
-17.872583,-41.501988
-17.866039,-41.522254
-17.865547,-41.520733
-17.894343,-41.506521
-17.894476,-41.524286
-17.857897,-41.497095
-17.868612,-41.492396
-17.847557,-41.488369
-17.845884,-41.513584
-17.850159,-41.511993
-17.833700,-41.478409
-17.888718,-41.513286
-17.841856,-41.519726
-17.873744,-41.494686
-17.836820,-41.525491
-17.839681,-41.519609
-17.841783,-41.505203
-17.878746,-41.512962
-17.872913,-41.478228
-17.850142,-41.479961
-17.870423,-41.527114
-17.839337,-41.517197
-17.849970,-41.508219
-17.844488,-41.525284
-17.871035,-41.510373
-17.895578,-41.509176
-17.882965,-41.501120
-17.879726,-41.491407
-17.902415,-41.478860
-17.835448,-41.497323
-17.892575,-41.503363
