@lat,@lon
-19.742497,-47.924621
-19.770750,-47.964877
-19.772580,-48.001371
-19.762229,-47.971397
-19.801877,-47.910326
-19.771954,-47.895448
-19.730368,-47.948420
-19.801698,-47.905205
-19.770578,-48.025400
-19.769621,-47.980034
-19.707146,-47.990411
-19.707755,-47.921670
-19.708681,-47.955234
-19.717526,-47.948262
-19.755294,-47.973492
-19.724453,-47.918850
-19.765400,-47.974323
-19.757325,-47.916499
-19.725358,-47.919673
-19.722790,-47.908129
-19.758391,-47.993822
-19.751758,-47.904075
-19.756010,-47.997342
-19.750093,-47.917899
-19.800583,-48.003525
-19.720119,-48.015620
-19.751176,-48.011103
-19.804361,-47.972802
-19.787208,-47.943357
-19.805547,-47.931496
-19.757296,-47.934318
-19.738927,-48.023179
-19.707435,-48.015028
-19.729869,-47.906921
-19.779117,-47.914820
-19.747895,-47.936671
-19.767640,-47.995463
-19.772844,-47.913398
-19.738816,-47.954923
-19.765108,-47.889692
-19.778498,-47.905308
-19.750250,-47.968139
-19.779736,-47.973399
-19.779154,-47.890655
-19.761673,-47.969200
-19.747983,-47.948421
-19.754368,-47.940135
-19.755505,-47.892178
-19.730273,-47.907635
-19.746113,-47.937239
-19.792039,-47.893106
-19.706470,-48.010419
-19.805694,-48.003893
-19.729439,-47.978952
-19.717058,-47.966487
-19.782989,-47.980559
-19.721981,-48.008835
-19.773734,-47.957629
-19.753992,-47.911704
-19.787756,-47.892155
-19.735094,-47.934928
-19.729249,-47.985810
-19.800919,-47.891895
-19.749367,-48.007835
-19.750238,-47.971089
-19.802396,-47.962279
-19.743897,-47.914261
-19.790421,-47.980293
-19.781333,-47.992977
-19.789906,-47.918474
-19.707405,-47.954574
-19.780723,-47.924155
-19.781841,-47.906722
-19.800903,-48.006164
-19.724989,-47.981735
-19.742284,-48.006072
-19.757006,-47.939213
-19.770674,-47.972709
-19.798547,-48.000496
-19.759328,-47.968106
-19.744720,-47.974261
-19.752155,-47.904958
-19.719741,-47.991219
-19.790728,-47.910678
-19.764657,-47.990061
-19.800018,-47.945987
-19.776186,-48.023252
-19.760315,-47.911493
-19.748099,-47.895033
-19.726223,-47.940074
-19.752799,-47.961508
-19.799174,-47.903563
-19.705883,-47.960933
-19.704830,-47.984120
-19.720887,-47.953562
-19.709781,-47.921221
-19.804188,-47.954716
-19.796504,-47.943752
-19.784396,-47.918332
-19.796329,-48.008954
-19.800055,-47.963495
-19.761591,-47.957769
-19.745885,-47.975843
-19.748104,-48.012548
-19.800163,-48.009552
-19.744915,-47.923104
-19.756378,-47.912489
-19.759071,-47.900453
-19.775519,-47.997153
-19.753731,-47.989596
-19.723938,-48.022582
-19.754160,-47.933412
-19.749312,-47.921258
-19.798934,-47.998725
-19.748602,-47.943608
-19.742480,-47.890865
-19.716105,-47.989618
-19.802228,-47.958631
-19.782673,-47.983073
-19.799691,-47.990275
-19.724596,-47.974907
-19.796037,-47.950815
-19.732148,-47.954024
-19.743459,-48.023519
-19.769202,-47.921374
-19.707707,-47.930313
-19.714917,-47.961915
-19.806940,-47.977182
-19.732156,-47.920868
-19.793399,-47.986521
-19.765270,-47.945743
-19.707146,-47.969918
-19.774521,-47.951942
-19.759451,-47.895372
-19.800460,-47.942586
-19.737909,-47.982333
-19.786716,-47.922425
-19.752080,-48.005315
-19.742641,-47.937119
-19.772724,-47.892270
-19.731506,-47.964416
-19.779684,-47.925845
-19.713840,-48.018539
-19.721311,-47.904665
-19.710845,-47.999771
-19.706420,-47.980204
-19.788655,-47.914230
-19.781838,-48.000828
-19.712983,-47.935671
-19.752489,-47.904582
-19.800753,-47.962616
-19.726743,-47.968148
-19.735090,-47.990603
-19.756719,-47.918951
-19.712042,-47.984511
-19.805655,-48.005460
-19.717072,-47.896899
-19.785967,-47.990969
-19.750233,-47.914379
-19.749640,-48.023569
-19.776234,-47.972880
-19.742287,-47.922887
-19.772853,-47.997354
-19.781285,-47.969203
-19.758528,-47.986037
-19.783934,-47.918186
-19.716128,-47.907793
-19.798952,-48.024607
-19.774319,-48.024770
-19.737602,-48.013689
-19.792442,-47.933679
-19.744325,-48.022237
-19.796549,-47.899311
-19.774703,-47.893235
-19.708734,-47.975751
-19.715200,-47.967961
-19.723858,-48.021787
-19.715016,-47.939384
-19.719058,-47.956065
-19.732614,-47.988267
-19.706332,-47.958956
-19.775645,-47.993074
-19.770656,-47.939521
-19.711409,-48.000438
-19.730210,-47.958932
-19.729601,-48.002940
-19.804522,-48.001369
-19.782616,-47.988717
-19.755533,-47.898492
-19.772501,-47.925582
-19.713206,-47.928700
-19.733157,-47.940642
-19.724690,-47.918719
-19.783983,-47.965728
-19.751402,-47.993796
-19.799451,-47.989094
-19.758774,-47.952111
-19.763858,-48.012471
-19.759661,-48.015542
-19.723652,-47.893602
