@lat,@lon
-18.891759,-48.357627
-18.966148,-48.320671
-18.980344,-48.213979
-18.950372,-48.228819
-18.932935,-48.237329
-18.914119,-48.327706
-18.894908,-48.344021
-18.905091,-48.268541
-18.889103,-48.292717
-18.920269,-48.353674
-18.879575,-48.358736
-18.871545,-48.359005
-18.960465,-48.268050
-18.934778,-48.317448
-18.949049,-48.265531
-18.926003,-48.237849
-18.919784,-48.273962
-18.925193,-48.332646
-18.866366,-48.286858
-18.880953,-48.276189
-18.872327,-48.214001
-18.881437,-48.299637
-18.924310,-48.325139
-18.944574,-48.298861
-18.869231,-48.233398
-18.971767,-48.253645
-18.938838,-48.243190
-18.953226,-48.281423
-18.931393,-48.231674
-18.921572,-48.330257
-18.897473,-48.322001
-18.955770,-48.294727
-18.953065,-48.344223
-18.967358,-48.327633
-18.954216,-48.300002
-18.966041,-48.268649
-18.963416,-48.345107
-18.974124,-48.259854
-18.900897,-48.271173
-18.956899,-48.281535
-18.954623,-48.302256
-18.933562,-48.240251
-18.932667,-48.251378
-18.918682,-48.357385
-18.874164,-48.286797
-18.921049,-48.323694
-18.924273,-48.344244
-18.974044,-48.260422
-18.873159,-48.214040
-18.947207,-48.258100
-18.862474,-48.223885
-18.950521,-48.242380
-18.955060,-48.272357
-18.905740,-48.253580
-18.944787,-48.240525
-18.948127,-48.329751
-18.976922,-48.222549
-18.975612,-48.247588
-18.871403,-48.296343
-18.872701,-48.291282
-18.907864,-48.263455
-18.956633,-48.215983
-18.907498,-48.271012
-18.873306,-48.256656
-18.977977,-48.291469
-18.961698,-48.223891
-18.901736,-48.263007
-18.932613,-48.245263
-18.963139,-48.319598
-18.979403,-48.292622
-18.936628,-48.319581
-18.969938,-48.340953
-18.892086,-48.309600
-18.958947,-48.357436
-18.862040,-48.242480
-18.879887,-48.317118
-18.909283,-48.305269
-18.950832,-48.235378
-18.925630,-48.308171
-18.951153,-48.321972
-18.953924,-48.233140
-18.937790,-48.250559
-18.931342,-48.321305
-18.905920,-48.331462
-18.908238,-48.321005
-18.904256,-48.330686
-18.890064,-48.259669
-18.885719,-48.344714
-18.906328,-48.299144
-18.952423,-48.309424
-18.939347,-48.265293
-18.935237,-48.358241
-18.930996,-48.332947
-18.879780,-48.270184
-18.946352,-48.262545
-18.894875,-48.322400
-18.966575,-48.302573
-18.951950,-48.340279
-18.896048,-48.279761
-18.876009,-48.281095
-18.951707,-48.232029
-18.925105,-48.344653
-18.951197,-48.247673
-18.910832,-48.324017
-18.902317,-48.340617
-18.921675,-48.361070
-18.923371,-48.220268
-18.868572,-48.219520
-18.962989,-48.323578
-18.905202,-48.355366
-18.935161,-48.348349
-18.862978,-48.305543
-18.917671,-48.308007
-18.928397,-48.327443
-18.937230,-48.327805
-18.892900,-48.287229
-18.915045,-48.272959
-18.957686,-48.274836
-18.935848,-48.218207
-18.977045,-48.260033
-18.936312,-48.308230
-18.972406,-48.273736
-18.952027,-48.301755
-18.863068,-48.340473
-18.928236,-48.255349
-18.922841,-48.220203
-18.972323,-48.241088
-18.909066,-48.312222
-18.953468,-48.349333
-18.972187,-48.327717
-18.881780,-48.336183
-18.955986,-48.267030
-18.966222,-48.250555
-18.879567,-48.352370
-18.942674,-48.283581
-18.972956,-48.264733
-18.951844,-48.247096
-18.920743,-48.221310
-18.891239,-48.257819
-18.967475,-48.294119
-18.928022,-48.353452
-18.874338,-48.348866
-18.944452,-48.296073
-18.891248,-48.344706
-18.976119,-48.261899
-18.922624,-48.323681
-18.900324,-48.347628
-18.880878,-48.325798
-18.974176,-48.322485
-18.896346,-48.274280
-18.877323,-48.314101
-18.969303,-48.289525
-18.969133,-48.332455
-18.960288,-48.270306
-18.885675,-48.340992
-18.952653,-48.320346
-18.957755,-48.245901
-18.898745,-48.262385
-18.882122,-48.285990
-18.899161,-48.332373
-18.954499,-48.220470
-18.938976,-48.252720
-18.881166,-48.302993
-18.896236,-48.308855
-18.918861,-48.344752
-18.947677,-48.345624
-18.881439,-48.325616
-18.964482,-48.326652
-18.952315,-48.271646
-18.903253,-48.351864
-18.911516,-48.238792
-18.954945,-48.334210
-18.937716,-48.293529
-18.978822,-48.325067
-18.866133,-48.327721
-18.922708,-48.307248
-18.958529,-48.249182
-18.863689,-48.347601
-18.954017,-48.276021
-18.971482,-48.218649
-18.923384,-48.325202
-18.865821,-48.308443
-18.937876,-48.340506
-18.898016,-48.257199
-18.914723,-48.256950
-18.898667,-48.235649
-18.874552,-48.323225
-18.906040,-48.213822
-18.883710,-48.281784
-18.919478,-48.307988
-18.958658,-48.222244
-18.916180,-48.324129
-18.940119,-48.215493
-18.879300,-48.271249
-18.956318,-48.279091
-18.938246,-48.232718
-18.963010,-48.303525
-18.972772,-48.217665
-18.935300,-48.310794
-18.971916,-48.231919
