@region,@samples,@lat_min,@lon_min,@lat_max,@lon_max
rmbh,200,-20.035844,-44.224533,-19.582630,-43.887425
uberlandia,200,-18.980643,-48.361431,-18.861500,-48.212847
juizdefora,200,-21.801422,-43.458054,-21.655672,-43.303559
moc,200,-16.803688,-43.911510,-16.662310,-43.806797
uberaba,200,-19.807641,-48.025429,-19.704244,-47.888786
gv,200,-18.916113,-41.998907,-18.828562,-41.894709
ipatinga,200,-19.511170,-42.589855,-19.427739,-42.522788
divinopolis,200,-20.201787,-44.948698,-20.096069,-44.831281
patosdeminas,200,-18.925492,-46.865440,-18.410282,-45.887657
pousoalegre,200,-22.286447,-45.975683,-22.198423,-45.878180
teofilootoni,200,-17.902533,-41.530380,-17.830972,-41.478023
muriae,200,-21.151034,-42.408812,-21.112643,-42.335775
lavras,200,-21.277828,-45.054484,-21.209189,-44.960242
paracatu,200,-17.242364,-46.905474,-17.206128,-46.851229
timoteo,100,-19.584122,-42.695607,-19.514886,-42.602223
janauba,100,-15.861600,-43.379299,-15.761840,-43.290035
diamantina,100,-18.253926,-43.616776,-18.226478,-43.583243
salinas,100,-16.194592,-42.315402,-16.131549,-42.272499
nanuque,100,-17.855022,-40.379324,-17.829098,-40.330785
porteirinha,100,-15.759363,-43.046051,-15.729402,-43.016442
claudio,100,-20.454210,-44.784677,-20.424964,-44.753634
carandai,100,-20.965238,-43.829813,-20.937461,-43.779084
corinto,100,-18.384890,-44.469574,-18.346648,-44.440730
barroso,100,-21.205979,-43.986295,-21.173611,-43.962723
novarezende,100,-21.132472,-46.435777,-21.118033,-46.417142
riocasca,100,-20.228406,-42.662814,-20.223167,-42.645173
estiva,100,-22.466408,-46.021289,-22.459780,-46.013119
capimbranco,100,-19.566658,-44.156320,-19.528076,-44.110315
formoso,100,-14.956167,-46.241869,-14.947606,-46.227741
